"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","344.6","338.7","333.1","327.6","322","316.8","311.4","305.8","300.3","294.8","289.3","283.6","277.8","272","266.2","260.1","254","247.8","241.5","235.1","228.6","222.2","215.8","209.3","202.9","196.4","190.1","183.8","177.7","171.7","165.9","160.4","155.2","150.3","145.6","141.2","136.9","132.8","128.7","124.6","120.4","116.3","112.1","107.9","103.7","99.5","95.4","91.4","87.6","83.9","80.3","76.8","73.6","70.4","67.6","64.9","62.5","60.3","",
"Angola","AGO","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","237.3","234.6","231.9","229.2","227.1","225.5","224.3","223.4","222.8","222.3","222.2","222.1","222.1","222.3","221.9","221.2","219.7","217","213.5","209.2","203.9","197.8","190.9","183.2","174.6","165.6","156.2","146.8","137.4","128.6","120.3","112.3","105","98.6","93","88.2","84.2","80.6","77.7","74.7","",
"Albania","ALB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","96.2","88.6","81.6","75.2","69.2","63.9","59.2","55","51.3","48.1","45.4","43","41","39.3","37.8","36.5","35.2","33.9","32.6","31.3","29.9","28.6","27.2","25.8","24.4","22.9","21.4","20","18.5","17.1","15.8","14.5","13.2","12.1","11.2","10.4","9.9","9.6","9.4","9.4","9.5","9.7","",
"Andorra","AND","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","17.1","16.2","15.4","14.5","13.7","13","12.3","11.6","11.1","10.5","9.9","9.4","8.9","8.5","8.1","7.7","7.3","6.9","6.6","6.3","6","5.7","5.4","5.1","4.9","4.6","4.4","4.1","3.9","3.7","3.5","3.4","3.2","3.1","3","",
"Arab World","ARB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4882800901095","78.0610122304834","75.7890540811701","73.6492523499944","71.6026379106263","69.5986269672119","67.6188971340887","65.708224258881","63.7970853096944","61.931281217263","60.0732847580546","58.2195830493311","56.3740535324706","54.6001558263946","52.8465609403778","51.1556265498059","49.4404122633852","47.6871143898267","45.9190510903208","44.2134894565058","42.6763522900737","41.3579103818905","40.2653263146826","39.2544524143679","38.3209772670581","37.5512591031644","36.754883540755","35.979009699555","35.3538955747496","34.6689262985825","",
"United Arab Emirates","ARE","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","200.4","190.3","180.3","170.1","159.6","149.1","138.4","127.8","117.3","107","97.2","88.2","79.9","72.2","65.2","58.9","53.1","47.9","43.1","38.8","35","31.7","28.8","26.4","24.3","22.6","21.1","19.8","18.6","17.5","16.6","15.7","14.9","14.3","13.7","13.2","12.7","12.3","11.9","11.5","11.2","10.9","10.6","10.3","10","9.7","9.4","9.2","8.9","8.7","8.5","8.3","8.1","8","7.9","7.8","7.8","7.7","7.6","7.5","",
"Argentina","ARG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","72.5","71.8","70.8","69.6","68.1","66","63.3","59.8","55.7","51.2","46.8","42.8","39.4","36.5","34.1","32.1","30.6","29.6","29.1","28.9","28.9","28.6","28.1","27.3","26.3","25.2","24.1","23.1","22.1","21.2","20.4","19.6","19","18.3","17.7","17.1","16.5","16.1","15.7","15.3","14.9","14.4","13.9","13.3","12.7","12.1","11.5","10.9","10.3","9.8","9.3","",
"Armenia","ARM","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","86.2","82.7","79.3","76.2","73.1","70.2","67.4","64.8","62.2","59.8","57.5","55.2","80.7","51","48.9","46.8","44.7","42.7","40.8","38.9","37.1","35.4","33.8","32.2","30.7","29.2","27.8","26.4","25.1","23.9","22.7","21.6","20.5","19.5","18.5","17.6","16.7","15.9","15.1","14.4","13.7","13","12.4","11.8","",
"American Samoa","ASM","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
