"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19","PC_AGE","A","1997",8.0696821,
"AUS","NEET","15_19","PC_AGE","A","1998",8.8245621,
"AUS","NEET","15_19","PC_AGE","A","1999",7.4046469,
"AUS","NEET","15_19","PC_AGE","A","2000",6.8247662,
"AUS","NEET","15_19","PC_AGE","A","2001",7.5513854,
"AUS","NEET","15_19","PC_AGE","A","2002",7.0277452,
"AUS","NEET","15_19","PC_AGE","A","2003",6.774754,
"AUS","NEET","15_19","PC_AGE","A","2004",7.5151553,
"AUS","NEET","15_19","PC_AGE","A","2005",7.3939061,
"AUS","NEET","15_19","PC_AGE","A","2006",7.0516081,
"AUS","NEET","15_19","PC_AGE","A","2007",6.4877505,
"AUS","NEET","15_19","PC_AGE","A","2008",6.3100529,
"AUS","NEET","15_19","PC_AGE","A","2009",8.3415461,
"AUS","NEET","15_19","PC_AGE","A","2010",8.059968,
"AUS","NEET","15_19","PC_AGE","A","2011",7.8398156,
"AUS","NEET","15_19","PC_AGE","A","2012",7.2310648,
"AUS","NEET","15_19","PC_AGE","A","2013",7.3363042,
"AUS","NEET","15_19","PC_AGE","A","2014",7.217288,
"AUS","NEET","15_19","PC_AGE","A","2015",5.9854727,
"AUS","NEET","15_19","PC_AGE","A","2016",5.5231562,
"AUS","NEET","15_19","PC_AGE","A","2017",5.4119105,
"AUS","NEET","20_24","PC_AGE","A","1997",17.474409,
"AUS","NEET","20_24","PC_AGE","A","1998",15.984615,
"AUS","NEET","20_24","PC_AGE","A","1999",14.548819,
"AUS","NEET","20_24","PC_AGE","A","2000",13.293954,
"AUS","NEET","20_24","PC_AGE","A","2001",13.926723,
"AUS","NEET","20_24","PC_AGE","A","2002",13.209244,
"AUS","NEET","20_24","PC_AGE","A","2003",13.310506,
"AUS","NEET","20_24","PC_AGE","A","2004",12.311726,
"AUS","NEET","20_24","PC_AGE","A","2005",11.648188,
"AUS","NEET","20_24","PC_AGE","A","2006",11.487414,
"AUS","NEET","20_24","PC_AGE","A","2007",10.736289,
"AUS","NEET","20_24","PC_AGE","A","2008",10.710096,
"AUS","NEET","20_24","PC_AGE","A","2009",11.582283,
"AUS","NEET","20_24","PC_AGE","A","2010",11.209383,
"AUS","NEET","20_24","PC_AGE","A","2011",11.690287,
"AUS","NEET","20_24","PC_AGE","A","2012",12.191848,
"AUS","NEET","20_24","PC_AGE","A","2013",13.928379,
"AUS","NEET","20_24","PC_AGE","A","2014",13.246034,
"AUS","NEET","20_24","PC_AGE","A","2015",13.133396,
"AUS","NEET","20_24","PC_AGE","A","2016",11.982759,
"AUS","NEET","20_24","PC_AGE","A","2017",11.547612,
"AUT","NEET","15_19","PC_AGE","A","2004",7.9373422,
"AUT","NEET","15_19","PC_AGE","A","2005",7.0263901,
"AUT","NEET","15_19","PC_AGE","A","2006",6.6199403,
"AUT","NEET","15_19","PC_AGE","A","2007",5.5443673,
"AUT","NEET","15_19","PC_AGE","A","2008",5.7128716,
"AUT","NEET","15_19","PC_AGE","A","2009",6.5969501,
"AUT","NEET","15_19","PC_AGE","A","2010",5.6628013,
"AUT","NEET","15_19","PC_AGE","A","2011",5.8195653,
"AUT","NEET","15_19","PC_AGE","A","2012",4.7568502,
"AUT","NEET","15_19","PC_AGE","A","2013",5.0905533,
"AUT","NEET","15_19","PC_AGE","A","2014",7.2301421,
"AUT","NEET","15_19","PC_AGE","A","2015",5.7313957,
"AUT","NEET","15_19","PC_AGE","A","2016",5.4698844,
"AUT","NEET","15_19","PC_AGE","A","2017",5.0967417,
"AUT","NEET","20_24","PC_AGE","A","2004",13.873876,
