measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Poland,Both,All Ages,Other infectious diseases,Number,1990,1281.830260418668,1358.7469854601477,926.2461892443764
Deaths,Solomon Islands,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,4.490432270422575,7.0137929940829125,1.7059018812864815
Deaths,Benin,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,5679.7128437565425,8425.974668083321,3581.7370153930883
Deaths,Solomon Islands,Both,All Ages,Other infectious diseases,Number,1990,111.75136679968087,173.96499430503707,68.90382877672528
Deaths,Cyprus,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,0.8752272785225879,6.454815631388779,0.1130030206642525
Deaths,Canada,Both,All Ages,HIV/AIDS and sexually transmitted infections,Number,1990,816.6901430106761,847.5077262618375,787.8100322818975
Deaths,Canada,Both,All Ages,Respiratory infections and tuberculosis,Number,1990,5902.253016773672,6087.366228100499,5729.870563446361
Deaths,Canada,Both,All Ages,Enteric infections,Number,1990,60.23242038037071,66.25716842824295,54.6646580328006
Deaths,Canada,Both,All Ages,Other infectious diseases,Number,1990,467.4171607335729,517.2963110066511,447.1821434416431
Deaths,El Salvador,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,35.07543984446575,61.625374159947064,21.56075748191733
Deaths,Oman,Both,All Ages,HIV/AIDS and sexually transmitted infections,Number,1990,7.556123677385379,11.531199687487165,5.221469020248957
Deaths,Denmark,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,0.4695367862901686,0.7041803683702418,0.34568150011952
Deaths,Oman,Both,All Ages,Respiratory infections and tuberculosis,Number,1990,491.0482068016895,591.922922767454,400.2663545423374
Deaths,Oman,Both,All Ages,Enteric infections,Number,1990,143.47998489632866,212.210859616569,95.35569476579865
Deaths,Oman,Both,All Ages,Other infectious diseases,Number,1990,301.9185218500833,414.24764303945,227.9612707635346
Deaths,Denmark,Both,All Ages,Other infectious diseases,Number,1990,193.293196596284,208.26477239848586,133.78381018482528
Deaths,Tonga,Both,All Ages,HIV/AIDS and sexually transmitted infections,Number,1990,0.5915643868965279,1.0583849349841734,0.3163418674323421
Deaths,Tonga,Both,All Ages,Respiratory infections and tuberculosis,Number,1990,40.53441782527854,44.89082236886463,36.273267487332504
Deaths,Tonga,Both,All Ages,Enteric infections,Number,1990,7.691552013394036,10.99251991413011,5.633045471660259
Deaths,Tonga,Both,All Ages,Other infectious diseases,Number,1990,24.65750508866592,30.10241097942388,20.442599749169638
Deaths,Vanuatu,Both,All Ages,HIV/AIDS and sexually transmitted infections,Number,1990,12.669397704194731,27.401238521742155,4.414222483636671
Deaths,Djibouti,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,158.69141781315318,788.8056956880033,6.598617689651512
Deaths,China,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,7941.223130725417,18499.76393169499,5297.363198887183
Deaths,Guatemala,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,622.6971010752219,909.1806601125337,251.58733773441392
Deaths,Qatar,Both,All Ages,HIV/AIDS and sexually transmitted infections,Number,1990,3.311514333226672,4.082116015609025,2.621761528062733
Deaths,Qatar,Both,All Ages,Respiratory infections and tuberculosis,Number,1990,35.185363695893656,42.6822377928763,30.065972144850434
Deaths,Qatar,Both,All Ages,Enteric infections,Number,1990,4.632850972365666,8.063172060472274,2.718556792989455
Deaths,Qatar,Both,All Ages,Other infectious diseases,Number,1990,18.066514512884524,27.991110287460778,11.609373164670261
Deaths,Guatemala,Both,All Ages,Other infectious diseases,Number,1990,1197.3467180025862,1538.4393548364403,1019.5381215440145
Deaths,Finland,Both,All Ages,HIV/AIDS and sexually transmitted infections,Number,1990,21.815989876210736,23.059179989192184,18.462398210426812
Deaths,Finland,Both,All Ages,Respiratory infections and tuberculosis,Number,1990,2157.935199005021,2229.719286548296,2087.0950645724492
Deaths,Finland,Both,All Ages,Enteric infections,Number,1990,59.189145878631464,64.87808720539932,53.88490458871196
Deaths,Finland,Both,All Ages,Other infectious diseases,Number,1990,92.51815290793277,99.58258091120774,75.94061586663936
Deaths,United Arab Emirates,Both,All Ages,HIV/AIDS and sexually transmitted infections,Number,1991,4.983423237452429,14.71554931585694,0.9142090011401235
