"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6009130222043","20.1133268699863","12.2161903714725","2.09291010616282","3.83127360302673","0.275949465299433","0.989467955083654","2.28442986452826","-2.07950497732082","-2.3119303489744","4.22698116566202","-0.141877040803124","-0.72746076613582","5.42760906762929","-5.10718864860483","-5.40587890067506","-0.152950639075172","6.03174361973116","-0.0949589566665736","0.24588167122981","1.41000942216884","-0.224763908389733","-10.6052986832907","-3.8877600461179","3.06388237087862","-1.86416771739363","3.59319794754416","0.25056693031469","-0.991547779040417","-0.716487134265762","0.855431101992977","","",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86836190347819","-2.87518352770836","7.20793301758572","2.25335741303414","11.0227739357486","1.59421129024308","18.5153687132188","11.264133238155","-2.6810808487635","8.97487956759649","1.97416862890181","-0.665270517698119","-1.6228866716696","-0.541697283221509","0.08207892887539","-1.35017833585495","",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-7.70994712206385","-3.49051429975594","0.548367120567789","2.28844087755758","-0.107675791108804","-0.67068962143081","0.488389654434116","2.49666766257133","-3.33590357797753","-6.6575321776896","-2.31085975236482","-8.87696719130457","-26.411770425863","-1.87781638971886","11.359481200189","9.95281738190118","3.87785042949145","1.36472378581571","-1.08527954316024","-0.26794453749595","0.822113704013972","9.94376401877865","-0.4318505625521","7.18703552678508","11.0308358027993","7.58232901027749","9.89001150552824","7.11687315081082","-2.8086344570206","1.0791689367887","-0.220846531029494","4.70645928027086","1.29208564355179","1.21983278506757","-2.46871516936926","-5.81623671756851","-3.40990331461406","-5.28777959390334","",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864854696172","0.795840071464539","-1.01680217240636","-3.30749720294656","-0.290595347809159","3.61465554380214","-2.74949637957361","-3.26252233364251","6.9236172837285","-11.1879052985212","-27.5668208371351","-6.62255121373251","10.2299493626078","8.96976165264667","14.0244959282552","9.78017988648612","-10.3611049779492","9.51715258016593","13.6071564539776","7.63386640301194","9.31112396132059","4.85392213495177","5.9256301532766","5.95188082344076","6.0713909118125","6.57033160600662","6.78392659121043","8.32803599940446","4.04881536999571","4.22302607264146","2.82164170215233","1.58515647484656","1.18720468365696","1.98093031564603","2.52813373603126","3.515368254313","3.93216450792897","4.26134228002314","",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.603684764691963","2.78890725216741","2.67240932351494","1.01049023194102","-3.33802602029948","-0.181175650466429","-0.280692814867152","-1.44221540552351","-3.06444898925623","-1.33076003498745","-3.94874555214277","-2.93137260946317","-2.59533589819418","-2.59835172795273","-2.02378656786776","-1.00182403610582","1.32567293379257","0.970487690399651","0.801682524889074","-0.14261468196311","-1.36612958050661","-2.87054457996793","-4.41262289346227","-0.403571697636579","0.869722420740217","3.82047713638481","9.12362433712761","3.49242735453457","3.73035953120058","1.91345185341861","1.5178447071707","2.3549886357867","7.3666565461149","3.32467350857601","3.82511760495885","1.79235935758382","-2.00594291107483","-9.87402963326682","-4.37594668222904","-5.3431361112859","-3.84725320509853","-0.0396675503243245","2.4052918336043","4.2932041332308","2.39598860802923","2.83028426104667","2.11506015294789","1.6227466770119","",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","12.2823584990347","4.82066588874031","-3.85259394558317","7.95560285111199","5.686524498479","-0.28320037874731","-11.8582045331625","-9.64778647313489","-1.64296985783423","-5.15447170997039","1.68770543880927","-3.30977341790876","2.67200338405893","-0.4264925806566","9.09789062323792","-1.17634904419161","3.08538795619488","0.550128247976417","0.594687304531533","-0.359873440848759","2.21549006243653","1.96536222882511","3.0283417405514","-0.346398266657431","3.25722954331091","-0.531166563462705","-1.54136692254751","3.06422257556555","6.94657966149815","3.33228990966256","4.02357970668544","2.0899461607105","3.28459879784194","-1.95709182435839","2.33328524981782","1.26958417527349","4.27775990642196","0.921316964570835","0.288859354996802","1.18930322234461","1.20392988710445","-0.930996524002921","0.177434957898285","",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","0.156119320394012","5.35044874349101","-13.3874304778413","8.43329340244081","13.2115534517906","-2.69925264971185","-12.1806286389399","-9.68144677701444","-1.2492861493968","-8.68888974797733","-19.6745445052809","-2.49356343491374","-8.21674673584535","5.91828003962591","11.6783978861004","-4.80060100968629","-2.481442037619","-4.34197372850511","1.24725770301974","1.3556788293001","0.630164735604779","2.83482887723379","-4.76507560132538","-2.39965285087459","4.9095039238249","-3.77897143889183","-2.75061493068955","1.96652820534192","-0.037811250770531","-7.02058381682087","-4.91664301630516","-11.3455042903779","-10.2087752033669","-15.1512555806894","-5.91481032440899","2.18792077509458","2.25792624286404","4.41015904513891","4.21441053622343","4.51203685833856","1.90937676846055","-0.550570887738374","-0.0900572263244328","",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.72878831950834","-2.42590802934959","-6.78817817754361","8.43723374065331","8.89676981490285","-2.13646867084347","1.67846614591258","3.28692856462828","8.05028380596933","1.47949852690094","4.00746511768637","0.00581141412814645","1.15692095388221","3.85178245373952","-1.58784478536853","-3.50638721414485","5.34298609554963","-5.91641878440657","8.57775376919905","-0.0296320549168314","-6.66851449554107","-2.30775590527286","2.68198172175644","-0.0518399787976591","-6.6925877848595","4.48430957214457","1.10605155538015","-2.60325448914919","-8.54082459769428","-3.87410316538033","7.6143428188072","6.48760632394378","6.80292086144149","4.50547229943265","-4.03215595317569","4.27459836967437","6.86475427079152","2.68095412136933","-4.45515726428921","-1.87491241541325","-5.44709154527357","-11.8547768361233","7.6765455385672","7.88493756497286","7.72947520461582","6.95554738176538","7.92423813871991","3.02947731150856","-6.85422733296183","9.30012832232192","4.78868313859434","-2.14528444981811","1.26568517537076","-3.57858050983292","1.62966427946265","-3.11006389821465","1.60928234377617","-3.49984193067345","",
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8708960479915","-40.7444525866326","-6.63846818137321","7.94992079244601","9.10352162624667","7.50696854011248","4.47964116012263","8.14226381315251","3.95761736439184","6.57036387036523","10.2355242402885","13.8096504346294","14.6471369467664","11.1014806140427","14.6086170262743","14.0766319216727","14.7456165090791","7.81913724774226","-13.5695683058369","2.58264808068078","4.72842677431717","6.91414364480887","2.82388903997261","3.07285853012422","2.73612872403588","-0.16150062037417","7.18375792858292","4.95169918042562","",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0957531149405924","0.240184563135955","-0.202616988891734","-3.42895088568189","3.25980682816665","-1.13469288616294","-2.87052854456408","1.52429560889686","0.869269598167648","-4.23437728864654","-2.83679849163519","0.803753378222453","1.20995400985682","-2.49537613553817","-5.17390270324398","","",
"Antigua and Barbuda","ATG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","4.59059139746358","8.22628941285166","8.31353690672405","3.92410661134615","-0.0500486881633151","5.3503740481333","10.1667786038668","7.64379359742537","11.551603001262","6.69029249243683","5.12129581147913","4.84999125566688","2.15497355156189","0.82401782654135","-0.573906707339162","3.18973940570983","4.41104828927597","-6.40127325034092","4.32150340056812","3.21914734248926","2.55727791997941","1.69412212476252","4.80818736357038","-6.42631900770876","-0.373294900966243","4.71379508055276","4.37289998190874","4.93766625243637","11.0397061711986","7.54041746568093","-1.63509230991274","-13.4743650156031","-8.55152135598564","-3.42309385318814","2.18313876822411","-1.31223286698466","3.47543473496937","2.90949971548278","4.51627247344931","2.06194494099688","3.99343927045501","",
