Gender Inequality Index (GII),,,,,,,,,,,,,,,,,,,,,,,,
HDI Rank (2018),Country,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
170,Afghanistan,..,,..,,0.674,,0.665,,0.654,,0.644,,0.633,,0.623,,0.614,,0.605,,0.59,,0.575
69,Albania,..,,0.38,,0.329,,0.269,,0.273,,0.273,,0.266,,0.261,,0.256,,0.249,,0.236,,0.234
82,Algeria,0.679, a,0.627,,0.561,,0.523,,0.515,,0.434,,0.432,,0.439,,0.442,,0.439,,0.447,,0.443
149,Angola,..,,..,,..,,..,,..,,..,,..,,0.577,,0.575,,0.572,,0.58,,0.578
48,Argentina,0.418, a,0.409,,0.371,,0.371,,0.368,,0.365,,0.365,,0.365,,..,,0.359,,0.355,,0.354
81,Armenia,0.474, a,0.468,,0.403,,0.345,,0.34,,0.319,,0.311,,0.305,,0.301,,0.3,,0.263,,0.259
6,Australia,0.18, a,0.16,,0.139,,0.138,,0.132,,0.128,,0.119,,0.116,,0.11,,0.107,,0.104,,0.103
20,Austria,0.186, a,0.15,,0.118,,0.111,,0.106,,0.102,,0.093,,0.09,,0.089,,0.086,,0.078,,0.073
87,Azerbaijan,..,,..,,0.325,,0.302,,0.303,,0.303,,0.309,,0.315,,0.31,,0.315,,0.318,,0.321
60,Bahamas,..,,0.387,,0.36,,0.386,,0.385,,0.383,,0.379,,0.379,,0.374,,0.372,,0.353,,0.353
45,Bahrain,..,,..,,0.325,,0.236,,0.222,,0.221,,0.215,,0.218,,0.226,,0.225,,0.223,,0.207
135,Bangladesh,0.708, a,0.68,,0.634,,0.588,,0.578,,0.57,,0.563,,0.555,,0.549,,0.547,,0.538,,0.536
56,Barbados,0.372, a,0.356,,0.347,,0.32,,0.314,,0.307,,0.296,,0.293,,0.295,,0.289,,0.283,,0.256
50,Belarus,..,,..,,..,,0.15,,0.149,,0.154,,0.153,,0.153,,0.153,,0.136,,0.129,,0.119
17,Belgium,0.162, a,0.122,,0.104,,0.091,,0.086,,0.081,,0.074,,0.063,,0.057,,0.053,,0.05,,0.045
103,Belize,0.515, a,0.481,,0.464,,0.425,,0.414,,0.398,,0.39,,0.387,,0.386,,0.384,,0.393,,0.391
163,Benin,0.682, a,0.678,,0.656,,0.623,,0.631,,0.626,,0.621,,0.617,,0.622,,0.618,,0.614,,0.613
134,Bhutan,..,,..,,..,,..,,..,,0.49,,0.53,,0.511,,0.495,,0.491,,0.484,,0.436
114,Bolivia (Plurinational State of),..,,0.587,,0.557,,0.503,,0.498,,0.496,,0.49,,0.455,,0.456,,0.448,,0.448,,0.446
75,Bosnia and Herzegovina,..,,..,,..,,0.235,,0.211,,0.202,,0.194,,..,,0.177,,0.173,,0.167,,0.162
94,Botswana,0.575, a,0.531,,0.522,,0.503,,0.498,,0.494,,0.485,,0.472,,0.469,,0.467,,0.466,,0.464
79,Brazil,0.519, a,0.507,,0.47,,0.456,,0.45,,0.448,,0.43,,0.421,,0.413,,0.41,,0.404,,0.386
43,Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.276,,0.243,,0.234
52,Bulgaria,0.373, a,0.336,,0.253,,0.238,,0.236,,0.222,,0.224,,0.236,,0.234,,0.232,,0.22,,0.218
182,Burkina Faso,..,,..,,0.645,,0.619,,0.615,,0.609,,0.605,,..,,0.623,,0.621,,0.612,,0.612
185,Burundi,..,,0.622,,0.571,,0.544,,0.543,,0.539,,0.535,,0.531,,0.524,,0.523,,0.521,,0.52
126,Cabo Verde,..,,..,,..,,..,,..,,..,,..,,..,,0.378,,0.376,,0.374,,0.372
146,Cambodia,0.66, a,0.598,,0.561,,0.493,,0.488,,0.484,,0.481,,0.478,,0.476,,0.475,,0.476,,0.474
150,Cameroon,0.697, a,0.688,,0.657,,0.623,,0.62,,0.616,,0.582,,0.579,,0.577,,0.574,,0.572,,0.566
13,Canada,0.184, a,..,,0.133,,0.126,,0.118,,0.115,,0.113,,0.11,,0.108,,0.099,,0.092,,0.083
188,Central African Republic,0.742, a,0.71,,0.692,,0.688,,0.675,,0.673,,..,,..,,..,,0.693,,0.684,,0.682
187,Chad,..,,..,,..,,..,,..,,..,,..,,..,,0.707,,0.705,,0.71,,0.701
42,Chile,0.477, a,0.433,,0.383,,0.362,,0.357,,0.352,,0.337,,0.335,,0.333,,0.326,,..,,0.288
85,China,..,,0.268,,0.234,,0.192,,0.187,,0.182,,0.17,,0.167,,0.165,,0.164,,0.164,,0.163
79,Colombia,0.523, a,0.503,,0.492,,0.456,,0.441,,0.435,,0.436,,0.417,,0.413,,0.41,,0.411,,0.411
138,Congo,..,,0.616,,0.618,,0.613,,0.609,,0.607,,0.604,,0.593,,0.592,,0.59,,0.58,,0.579
179,Congo (Democratic Republic of the),..,,..,,0.665,,0.679,,..,,0.674,,0.646,,0.655,,0.659,,0.656,,0.655,,0.655
68,Costa Rica,0.463, a,0.423,,0.345,,0.321,,0.318,,0.308,,0.304,,0.312,,0.308,,0.309,,0.303,,0.285
