measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Czech Republic,Both,All Ages,All causes,Number,2000,109612.55296184447,110331.61174854722,108886.88380458801
Deaths,Czech Republic,Both,All Ages,All causes,Percent,2000,1.0,1.0,1.0
Deaths,Czech Republic,Both,All Ages,All causes,Rate,2000,1072.9386590032336,1079.9771409061027,1065.8354717183074
Deaths,United States,Both,All Ages,All causes,Number,2001,2422092.8978939406,2424971.574105252,2418999.0175970607
Deaths,United States,Both,All Ages,All causes,Percent,2001,1.0,1.0,1.0
Deaths,United States,Both,All Ages,All causes,Rate,2001,855.0495977187454,856.0658308031939,853.957393078067
Deaths,Namibia,Both,All Ages,All causes,Number,2000,22503.26825232834,24935.81832498773,20555.392147663166
Deaths,Namibia,Both,All Ages,All causes,Percent,2000,1.0,1.0,1.0
Deaths,Namibia,Both,All Ages,All causes,Rate,2000,1219.9239709688654,1351.7948668291706,1114.3277204192327
Deaths,Saudi Arabia,Both,All Ages,All causes,Number,2001,71029.74864966741,77096.42314840926,65344.1983107199
Deaths,Saudi Arabia,Both,All Ages,All causes,Percent,2001,1.0,1.0,1.0
Deaths,Saudi Arabia,Both,All Ages,All causes,Rate,2001,329.3956061614786,357.5293946358496,303.0292549373431
Deaths,Kiribati,Both,All Ages,All causes,Number,2000,838.4010146440609,888.2604684931234,795.051790319104
Deaths,Kiribati,Both,All Ages,All causes,Percent,2000,1.0,1.0,1.0
Deaths,Kiribati,Both,All Ages,All causes,Rate,2000,954.030301283163,1010.7661937100436,904.7025060863863
Deaths,Australia,Both,All Ages,All causes,Number,2000,129387.1231553813,130125.6989965993,128606.06798248812
Deaths,Australia,Both,All Ages,All causes,Percent,2000,1.0,1.0,1.0
Deaths,Australia,Both,All Ages,All causes,Rate,2000,685.3610002580899,689.2732216983632,681.2237666486228
Deaths,Central African Republic,Both,All Ages,All causes,Number,2000,65135.54470181783,71797.99948978852,59024.27009296465
Deaths,Central African Republic,Both,All Ages,All causes,Percent,2000,1.0,1.0,1.0
