Youth NEET rate,,,,,,,,,
http://www.ilo.org/ilostat/faces/oracle/webcenter/portalapp/pagehierarchy/Page3.jspx?MBI_ID=20,,,,,,,,,
Downloaded from ILOSTAT. Last update on 18SEP17,,,,,,,,,
,,,,,,,,,
,,,"Share of youth not in employment, education or training (NEET) (%)",,,"Youth not in employment, education or training (NEET) (thousands)",,,
Reference area,Source type,Time,Total,Male,Female,Total,Male,Female,
Albania,Labour force survey,2008,27.2,23.7,30.7,,,,
Albania,Labour force survey,2011,30.0,27.7,32.5,157.1,74.6,82.5,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Noncalendar year 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: Noncalendar year 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Albania,Labour force survey,2012,26.8,25.1,28.6,136.6,66.7,69.9,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Noncalendar year 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: Noncalendar year 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Albania,Labour force survey,2013,30.5,29.3,31.8,155.1,72.3,82.8,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Albania,Labour force survey,2014,34.5,,,,,,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts 
-Age coverage - maximum age: 29 years old"
Albania,Labour force survey,2015,32.8,,,,,,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts 
-Age coverage - maximum age: 29 years old"
Algeria,Labour force survey,2009,25.5,11.2,39.9,1980.0,441.0,1539.0,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: September

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: September"
Algeria,Labour force survey,2010,24.5,10.8,39.1,1878.0,423.0,1455.0,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: September

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: September"
Algeria,Labour force survey,2011,26.0,15.0,37.4,,,,
Algeria,Labour force survey,2012,22.7,10.8,34.8,,,,
Algeria,Labour force survey,2013,21.5,8.8,34.6,,,,
Algeria,Labour force survey,2014,22.8,11.4,34.7,,,,
Algeria,Labour force survey,2015,21.2,10.8,32.1,,,,
Angola,Other household survey,2004,31.0,22.4,38.3,1095.3,366.0,729.2,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: Annual or annual average

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: Annual or annual average"
Angola,Other household survey,2011,10.0,7.6,12.2,356.5,130.4,226.1,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: Annual or annual average

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: Annual or annual average"
Argentina,Labour force survey,2004,21.0,16.1,25.8,873.0,333.3,539.7,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2005,19.9,15.3,24.5,825.8,319.2,506.6,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2006,19.5,14.3,24.8,815.0,297.4,517.6,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Break in series: Methodology revised 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Break in series: Methodology revised 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2008,19.4,14.5,24.4,825.7,311.9,513.8,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2009,20.0,15.8,24.3,848.8,337.3,511.6,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2010,20.5,15.3,25.7,1302.6,494.7,807.9,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Argentina,Labour force survey,2011,18.4,13.9,23.0,781.9,296.9,485.0,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Break in series: Methodology revised 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Break in series: Methodology revised 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2012,18.4,13.8,23.1,797.4,300.5,496.9,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2013,19.1,14.4,24.0,836.8,323.1,513.7,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,Labour force survey,2014,19.7,15.1,24.5,905.1,359.5,545.6,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Armenia,Household income/expenditure survey,2011,42.1,39.4,44.7,210.5,97.0,113.5,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding institutional population 
-Age coverage - maximum age: 75 years old

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding institutional population 
-Age coverage - maximum age: 75 years old"
Armenia,Household income/expenditure survey,2012,40.0,38.4,41.6,194.5,92.3,102.3,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding institutional population 
-Age coverage - maximum age: 75 years old

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding institutional population 
-Age coverage - maximum age: 75 years old"
Armenia,Household income/expenditure survey,2013,40.9,39.2,42.6,177.0,86.6,90.4,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: Annual or annual average 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Armenia,Labour force survey,2014,38.0,37.5,38.5,168.3,78.9,89.4,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,Labour force survey,2015,35.6,36.4,34.8,143.9,72.2,71.6,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old

Youth not in employment, education or training (NEET) (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Aruba,Population census,2010,16.6,17.4,15.6,2.1,1.1,1.0,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: September

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: September"
Australia,Labour force survey,2009,11.4,10.3,12.6,344.9,159.2,185.7,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,Labour force survey,2010,11.3,10.8,11.9,344.7,168.1,176.6,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,Labour force survey,2011,10.6,9.5,11.8,322.9,147.4,175.5,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,Labour force survey,2012,9.9,9.5,10.4,304.9,148.1,156.8,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: May 
-Geographical coverage: Total national, excluding some areas 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,Labour force survey,2013,11.1,10.2,11.8,341.6,161.5,178.9,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: May 
-Geographical coverage: Total national, excluding overseas territories 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: May 
-Geographical coverage: Total national, excluding overseas territories 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,Labour force survey,2014,10.1,9.7,10.6,314.8,154.9,160.5,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: May 
-Geographical coverage: Total national, excluding overseas territories 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: May 
-Geographical coverage: Total national, excluding overseas territories 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,Labour force survey,2015,9.8,9.4,10.3,307.3,151.1,156.8,"Notes

Share of youth not in employment, education or training (NEET) (%) 
-Data reference period: May 
-Geographical coverage: Total national, excluding overseas territories 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts

Youth not in employment, education or training (NEET) (thousands) 
-Data reference period: May 
-Geographical coverage: Total national, excluding overseas territories 
-Population coverage: Excluding both institutional population and armed forces and/or conscripts"
