LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
Austria,NEET,15_29,PC_AGE,A,2016,11.35215
Austria,NEET,15_29,PC_AGE,A,2015,11.83161
Austria,NEET,15_29,PC_AGE,A,2014,12.647472
Australia,NEET,15_29,PC_AGE,A,2016,10.861573
Australia,NEET,15_29,PC_AGE,A,2015,10.438811
Australia,NEET,15_29,PC_AGE,A,2014,11.552073
Belgium,NEET,15_29,PC_AGE,A,2016,12.989787
Belgium,NEET,15_29,PC_AGE,A,2015,13.80891
Belgium,NEET,15_29,PC_AGE,A,2014,15.014685
Brazil,NEET,15_29,PC_AGE,A,2015,22.539059
Brazil,NEET,15_29,PC_AGE,A,2014,19.955
Canada,NEET,15_29,PC_AGE,A,2016,13.155581
Canada,NEET,15_29,PC_AGE,A,2015,13.201466
Canada,NEET,15_29,PC_AGE,A,2014,13.39312
Switzerland,NEET,15_29,PC_AGE,A,2016,8.7071009
Switzerland,NEET,15_29,PC_AGE,A,2015,8.5149097
Switzerland,NEET,15_29,PC_AGE,A,2014,10.284992
Chile,NEET,15_29,PC_AGE,A,2015,17.971138
Colombia,NEET,15_29,PC_AGE,A,2016,21.170773
Colombia,NEET,15_29,PC_AGE,A,2015,20.99786
Colombia,NEET,15_29,PC_AGE,A,2014,21.4286
Costa Rica,NEET,15_29,PC_AGE,A,2016,22.052027
Costa Rica,NEET,15_29,PC_AGE,A,2015,20.113411
Costa Rica,NEET,15_29,PC_AGE,A,2014,18.818441
Czech Republic,NEET,15_29,PC_AGE,A,2016,11.624346
Czech Republic,NEET,15_29,PC_AGE,A,2015,12.232547
Czech Republic,NEET,15_29,PC_AGE,A,2014,12.489656
Germany,NEET,15_29,PC_AGE,A,2016,9.6113749
Germany,NEET,15_29,PC_AGE,A,2015,8.5675774
Germany,NEET,15_29,PC_AGE,A,2014,9.1729298
Denmark,NEET,15_29,PC_AGE,A,2016,8.1878567
Denmark,NEET,15_29,PC_AGE,A,2015,10.506375
Denmark,NEET,15_29,PC_AGE,A,2014,10.736768
Spain,NEET,15_29,PC_AGE,A,2016,21.675491
Spain,NEET,15_29,PC_AGE,A,2015,22.820313
Spain,NEET,15_29,PC_AGE,A,2014,24.314959
Estonia,NEET,15_29,PC_AGE,A,2016,14.530252
Estonia,NEET,15_29,PC_AGE,A,2015,12.8484
Estonia,NEET,15_29,PC_AGE,A,2014,14.499515
Finland,NEET,15_29,PC_AGE,A,2016,13.227513
Finland,NEET,15_29,PC_AGE,A,2015,14.311735
Finland,NEET,15_29,PC_AGE,A,2014,12.966842
France,NEET,15_29,PC_AGE,A,2016,17.187014
France,NEET,15_29,PC_AGE,A,2015,17.200922
France,NEET,15_29,PC_AGE,A,2014,16.251743
United Kingdom,NEET,15_29,PC_AGE,A,2016,13.19285
United Kingdom,NEET,15_29,PC_AGE,A,2015,13.741446
United Kingdom,NEET,15_29,PC_AGE,A,2014,14.401425
Greece,NEET,15_29,PC_AGE,A,2016,23.541365
Greece,NEET,15_29,PC_AGE,A,2015,26.14764
Greece,NEET,15_29,PC_AGE,A,2014,28.306072
Hungary,NEET,15_29,PC_AGE,A,2016,15.176572
Hungary,NEET,15_29,PC_AGE,A,2015,15.890547
Hungary,NEET,15_29,PC_AGE,A,2014,17.478123
Ireland,NEET,15_29,PC_AGE,A,2015,16.197556
Ireland,NEET,15_29,PC_AGE,A,2014,18.034855
Iceland,NEET,15_29,PC_AGE,A,2016,5.3012023
Iceland,NEET,15_29,PC_AGE,A,2015,6.1519022
Iceland,NEET,15_29,PC_AGE,A,2014,8.8360205
Israel,NEET,15_29,PC_AGE,A,2015,14.077371
Israel,NEET,15_29,PC_AGE,A,2014,13.846004
Italy,NEET,15_29,PC_AGE,A,2016,26.017776
Italy,NEET,15_29,PC_AGE,A,2015,27.383543
Italy,NEET,15_29,PC_AGE,A,2014,27.712954
Japan,NEET,15_29,PC_AGE,A,2014,9.8242168
Lithuania,NEET,15_29,PC_AGE,A,2016,11.403278
Lithuania,NEET,15_29,PC_AGE,A,2015,13.743647
Lithuania,NEET,15_29,PC_AGE,A,2014,14.185811
Luxemburg,NEET,15_29,PC_AGE,A,2016,7.5940952
Luxemburg,NEET,15_29,PC_AGE,A,2015,8.425355
Luxemburg,NEET,15_29,PC_AGE,A,2014,8.211834
Latvia,NEET,15_29,PC_AGE,A,2016,14.443724
Latvia,NEET,15_29,PC_AGE,A,2015,12.961889
Latvia,NEET,15_29,PC_AGE,A,2014,14.520842
Mexico,NEET,15_29,PC_AGE,A,2016,21.765724
Mexico,NEET,15_29,PC_AGE,A,2015,21.938206
Mexico,NEET,15_29,PC_AGE,A,2014,22.379408
Netherlands,NEET,15_29,PC_AGE,A,2016,7.8377733
Netherlands,NEET,15_29,PC_AGE,A,2015,8.2679853
Netherlands,NEET,15_29,PC_AGE,A,2014,9.2209091
Norway,NEET,15_29,PC_AGE,A,2016,9.4090204
Norway,NEET,15_29,PC_AGE,A,2015,9.1583672
Norway,NEET,15_29,PC_AGE,A,2014,9.2755718
New Zealand,NEET,15_29,PC_AGE,A,2016,11.323588
New Zealand,NEET,15_29,PC_AGE,A,2015,13.294979
New Zealand,NEET,15_29,PC_AGE,A,2014,12.936568
Poland,NEET,15_29,PC_AGE,A,2016,15.053272
Poland,NEET,15_29,PC_AGE,A,2015,15.646258
Poland,NEET,15_29,PC_AGE,A,2014,15.841155
Portugal,NEET,15_29,PC_AGE,A,2016,15.615495
Portugal,NEET,15_29,PC_AGE,A,2015,15.342356
Portugal,NEET,15_29,PC_AGE,A,2014,17.697248
Russia,NEET,15_29,PC_AGE,A,2016,14.136364
Russia,NEET,15_29,PC_AGE,A,2015,14.035404
Russia,NEET,15_29,PC_AGE,A,2014,13.915712
Slovak Republic,NEET,15_29,PC_AGE,A,2016,15.899045
Slovak Republic,NEET,15_29,PC_AGE,A,2015,17.206007
Slovak Republic,NEET,15_29,PC_AGE,A,2014,18.712257
Slovenia,NEET,15_29,PC_AGE,A,2016,11.576782
Slovenia,NEET,15_29,PC_AGE,A,2015,14.600477
Slovenia,NEET,15_29,PC_AGE,A,2014,13.662683
Sweden,NEET,15_29,PC_AGE,A,2016,8.2297888
