"iso3c","variablename","year","value"
"AFG","ARMY",2017,1.779
"ALB","ARMY",2017,1.418
"DZA","ARMY",2017,1.484
"AGO","ARMY",2017,1.63
"ARG","ARMY",2017,1.258
"ARM","ARMY",2017,3.259
"AUS","ARMY",2017,1.363
"AUT","ARMY",2017,1.372
"AZE","ARMY",2017,2.032
"BHR","ARMY",2017,1.856
"BGD","ARMY",2017,1.147
"BLR","ARMY",2017,1.787
"BEL","ARMY",2017,1.401
"BEN","ARMY",2017,1.095
"BTN","ARMY",2017,1
"BOL","ARMY",2017,1.475
"BIH","ARMY",2017,1.439
"BWA","ARMY",2017,1.595
"BRA","ARMY",2017,1.247
"BGR","ARMY",2017,1.668
"BFA","ARMY",2017,1.09
"BDI","ARMY",2017,1.271
"KHM","ARMY",2017,2.191
"CMR","ARMY",2017,1.089
"CAN","ARMY",2017,1.264
"CAF","ARMY",2017,1.213
"TCD","ARMY",2017,1.315
"CHL","ARMY",2017,1.545
"CHN","ARMY",2017,1.243
"COL","ARMY",2017,1.916
"COG","ARMY",2017,1.321
"CRI","ARMY",2017,1
"CIV","ARMY",2017,1.163
"HRV","ARMY",2017,1.576
"CUB","ARMY",2017,1.654
"CYP","ARMY",2017,3.124
"CZE","ARMY",2017,1.317
"COD","ARMY",2017,1.255
"DNK","ARMY",2017,1.454
"DJI","ARMY",2017,2.69
"DOM","ARMY",2017,1.799
"ECU","ARMY",2017,1.368
"EGY","ARMY",2017,1.714
"SLV","ARMY",2017,1.617
"GNQ","ARMY",2017,1.175
"ERI","ARMY",2017,5
"EST","ARMY",2017,1.696
"ETH","ARMY",2017,1.206
"FIN","ARMY",2017,1.605
"FRA","ARMY",2017,1.477
"GAB","ARMY",2017,1.43
"GMB","ARMY",2017,1.074
"GEO","ARMY",2017,1.802
"DEU","ARMY",2017,1.327
"GHA","ARMY",2017,1.087
"GRC","ARMY",2017,2.991
"GTM","ARMY",2017,1.164
"GIN","ARMY",2017,1.117
"GNB","ARMY",2017,1.321
"GUY","ARMY",2017,1.592
"HTI","ARMY",2017,1
"HND","ARMY",2017,1.204
"HUN","ARMY",2017,1.418
"ISL","ARMY",2017,1
"IND","ARMY",2017,1.16
"IDN","ARMY",2017,1.233
"IRN","ARMY",2017,1.993
"IRQ","ARMY",2017,1.26
