REGION	Region	LOCATION	Country	INCOME	Income	VAR	Variable	TIME	Year	Value	Flag Codes	Flags
ASI	Asia	AUS	Australia	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.1		
ASI	Asia	AUS	Australia	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ASI	Asia	AUS	Australia	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	12.9		
ASI	Asia	AUS	Australia	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.9		
ASI	Asia	AUS	Australia	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	23.6		
ALL	All regions	AUS	Australia	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.1		
ALL	All regions	AUS	Australia	HIN	High income	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	AUS	Australia	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	12.9		
ALL	All regions	AUS	Australia	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.9		
ALL	All regions	AUS	Australia	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	23.6		
EUR	Europe	AUT	Austria	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.7		
EUR	Europe	AUT	Austria	HIN	High income	DF__2	Discrimination in the family	2019	2019	22.1		
EUR	Europe	AUT	Austria	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	7.7		
EUR	Europe	AUT	Austria	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4		
EUR	Europe	AUT	Austria	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	12.1		
ALL	All regions	AUT	Austria	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.7		
ALL	All regions	AUT	Austria	HIN	High income	DF__2	Discrimination in the family	2019	2019	22.1		
ALL	All regions	AUT	Austria	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	7.7		
ALL	All regions	AUT	Austria	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4		
ALL	All regions	AUT	Austria	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	12.1		
EUR	Europe	BEL	Belgium	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.2		
EUR	Europe	BEL	Belgium	HIN	High income	DF__2	Discrimination in the family	2019	2019	22		
EUR	Europe	BEL	Belgium	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	8.4		
EUR	Europe	BEL	Belgium	HIN	High income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	3.3		
EUR	Europe	BEL	Belgium	HIN	High income	RCL__2	Restricted civil liberties	2019	2019	10.3		
ALL	All regions	BEL	Belgium	HIN	High income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	11.2		
ALL	All regions	BEL	Belgium	HIN	High income	DF__2	Discrimination in the family	2019	2019	22		
ALL	All regions	BEL	Belgium	HIN	High income	RPI__2	Restricted physical integrity	2019	2019	8.4		
