"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.9369964599609","82.8809967041016","82.806999206543","82.713996887207","82.6009979248047","82.4599990844727","82.4570007324219","82.4879989624023","82.5380020141602","82.5989990234375","82.6669998168945","82.7429962158203","82.8300018310547","82.9250030517578","83.0250015258789","83.1210021972656","83.0599975585938","83.0009994506836","82.9300003051758","82.8330001831055","82.7040023803711","82.5940017700195","82.4820022583008","82.3860015869141","82.322998046875","82.2979965209961","82.2070007324219","82.1480026245117","82.1340026855469","82.1279983520508",
"Angola","AGO","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2850036621094","81.3379974365234","81.3259963989258","81.4219970703125","81.2389984130859","81.0080032348633","80.9609985351563","80.9100036621094","80.8399963378906","80.7699966430664","80.6839981079102","80.7160034179688","80.7969970703125","80.7529983520508","80.6620025634766","80.5189971923828","80.4970016479492","80.4229965209961","80.3919982910156","80.443000793457","80.4649963378906","80.5550003051758","80.5820007324219","80.5459976196289","80.4789962768555","80.3789978027344","80.3059997558594","80.1790008544922","80.0869979858398","79.9889984130859",
"Albania","ALB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5790023803711","75.2959976196289","75.3349990844727","75.0319976806641","74.5989990234375","73.8949966430664","73.8050003051758","74.3379974365234","74.2089996337891","73.8610000610352","73.640998840332","73.0719985961914","72.5960006713867","71.0339965820313","69.4570007324219","67.9020004272461","66.5100021362305","65.2190017700195","64.0100021362305","64.2919998168945","62.984001159668","64.411003112793","66.1169967651367","62.6459999084473","63.8819999694824","65.161003112793","65.0609970092773","64.9960021972656","64.8820037841797","64.7519989013672",
"Andorra","AND","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.2303568467171","76.1887048037958","76.0329225594279","76.0318181144281","76.1380422060838","75.8915150782633","75.4948517082442","75.226513135273","74.8361295528851","75.0778172635199","74.89920783791","74.2775996341702","74.0677111945552","73.9686780280873","73.8966167415787","73.8451346377102","73.7325587360476","73.7560526196045","74.0304442419213","74.1266563467734","74.6270977751184","74.6942863374667","74.7760167931002","74.9466819192506","74.5829734384504","74.1004921082806","73.7481925298774","73.7107722770764","73.6990527991893","73.6746874361948",
"United Arab Emirates","ARE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.1370010375977","90.1669998168945","90.5100021362305","91.1380004882813","91.6669998168945","92.1569976806641","91.3499984741211","90.8830032348633","90.8460006713867","91.1230010986328","91.5029983520508","90.7289962768555","90.5920028686523","90.9469985961914","91.6589965820313","92.5400009155273","91.8420028686523","91.984001159668","92.6669998168945","93.6070022583008","94.5419998168945","94.3600006103516","94.234001159668","94.2310028076172","94.4020004272461","94.7099990844727","94.0630035400391","93.5429992675781","93.3679962158203","93.4079971313477",
"Argentina","ARG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.0220031738281","75.9199981689453","75.7620010375977","75.4800033569336","75.2799987792969","75.0179977416992","74.9380035400391","75.0100021362305","75.0920028686523","75.1240005493164","75.2170028686523","75.2060012817383","75.1019973754883","75.3499984741211","75.5910034179688","75.6190032958984","75.6549987792969","75.1019973754883","74.5370025634766","74.5609970092773","74.322998046875","74.5019989013672","74.1029968261719","73.9240036010742","73.4749984741211","73.3509979248047","73.1669998168945","72.9609985351563","72.8219985961914","72.6890029907227",
"Armenia","ARM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4349975585938","70.3970031738281","70.2320022583008","69.9550018310547","69.5920028686523","69.1579971313477","68.6559982299805","68.1510009765625","67.6399993896484","67.1169967651367","66.5879974365234","66.2969970703125","66.0299987792969","65.8310012817383","65.7669982910156","65.8679962158203","66.1269989013672","66.5189971923828","66.7720031738281","67.6959991455078","71.6169967651367","70.8960037231445","70.5149993896484","70.5690002441406","70.786003112793","70.1630020141602","69.7509994506836","69.7020034790039","69.8669967651367","69.931999206543",
"American Samoa","ASM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.7699966430664","74.7789993286133","74.2350006103516","73.6709976196289","73.7519989013672","73.9469985961914","73.7289962768555","73.1829986572266","72.9000015258789","72.4560012817383","72.3119964599609","72.0960006713867","71.9970016479492","71.7009963989258","71.6399993896484","72.1880035400391","72.3059997558594","72.5979995727539","72.6750030517578","72.3310012817383","72.4509963989258","72.2460021972656","71.7720031738281","71.4120025634766","70.9869995117188","71.140998840332","70.6510009765625","70.7020034790039","70.5309982299805","70.3499984741211",
"Austria","AUT","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.9779968261719","69.9990005493164","70.120002746582","69.9550018310547","70.2170028686523","70.3199996948242","69.7040023803711","69.0100021362305","69.0189971923828","69.1100006103516","68.8929977416992","67.8850021362305","68.2259979248047","68.0120010375977","64.8580017089844","66.1289978027344","66.3109970092773","67.1999969482422","67.1510009765625","67.0589981079102","66.8639984130859","66.6240005493164","66.6480026245117","66.6419982910156","66.1019973754883","65.9929962158203","66.2220001220703","66.1529998779297","65.9179992675781","65.6480026245117",
"Azerbaijan","AZE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.0309982299805","70.1119995117188","70.8919982910156","71.5350036621094","71.9130020141602","72.036003112793","71.9520034790039","71.7740020751953","71.5100021362305","71.2559967041016","70.6829986572266","70.1080017089844","69.572998046875","69.0920028686523","68.681999206543","68.3519973754883","68.0699996948242","67.859001159668","67.7060012817383","67.5979995727539","67.5230026245117","67.3720016479492","67.6389999389648","67.963996887207","68.3619995117188","68.681999206543","69.713996887207","70.0449981689453","69.7229995727539","69.3519973754883",
"Burundi","BDI","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.4540023803711","89.9520034790039","89.3529968261719","88.6620025634766","87.8929977416992","87.0559997558594","86.2959976196289","85.4690017700195","84.568000793457","83.7850036621094","82.9629974365234","82.3030014038086","81.6869964599609","81.1210021972656","80.6119995117188","80.1529998779297","79.7249984741211","79.3190002441406","78.931999206543","78.5699996948242","78.2399978637695","77.8140029907227","77.4219970703125","77.0469970703125","76.6679992675781","77.0260009765625","77.3290023803711","77.6129989624023","77.6370010375977","77.6060028076172",
