code,iso,country,EPI.current,HLT.current,AIR.current,H2O.current,HMT.current,ECO.current,BDH.current,FRT.current,FSH.current,CCE.current,APE.current,WRS.current,AGR.current,HAD.current,PME.current,PMW.current,USD.current,UWD.current,PBD.current,MPA.current,TBN.current,TBG.current,SPI.current,PAR.current,SHI.current,TCL.current,FSS.current,MTR.current,DCT.current,DPT.current,DMT.current,DNT.current,DBT.current,DST.current,DXT.current,WWT.current,SNM.current
4,AFG,Afghanistan,37.74,36.76,44.67,25.75,0,38.4,13.44,99.07,,33.04,91.44,0,44.77,0,71.78,77.11,24.88,26.62,0,,0.61,1.26,3.07,7,90.6,99.07,,,23.47,,53.62,50.1,67.66,82.88,100,0,44.77
8,ALB,Albania,65.46,65.67,65.47,66.56,62.89,65.32,75.37,23.36,58.25,68.36,86.07,80.73,22.61,30.95,88.9,88.08,67.15,65.97,62.89,86.85,94.46,94.07,32.09,56.94,81.81,23.36,54.73,61.77,53.77,100,73.3,63.65,72.61,83.25,88.9,80.73,22.61
12,DZA,Algeria,57.18,80.95,93.98,60.26,35.6,41.34,49.33,9.96,44.39,26.94,46.15,91.6,34.26,87.42,100,96.72,64.36,56.17,35.6,57.46,43.41,46.6,53.93,10.06,80.45,9.96,28.21,60.58,17.14,46.35,37.76,23.99,6.93,83.63,8.68,91.6,34.26
24,AGO,Angola,37.44,33.79,44.66,9.2,40.08,39.88,39.19,21.76,63.2,48.86,57.92,0,22.7,14.77,60.72,68.46,9.42,8.99,40.08,23.48,34.14,37.07,34.63,45.09,88.18,21.76,88.05,38.35,55,40.18,36.11,63.78,58.16,59.85,55.99,0,22.7
28,ATG,Antigua and Barbuda,59.18,76.53,89.13,53.33,52.04,47.61,88.49,,58.51,11.26,46.94,64.44,7.26,72.82,100,100,54.69,51.96,52.04,70.01,100,100,,79.39,,,57.88,59.13,0,,22.94,85.88,47.5,46.86,47.03,64.44,7.26
32,ARG,Argentina,59.3,79.88,84.57,73.07,59.78,45.58,55.64,7.51,42.26,46.65,19.51,72.13,70.69,65.25,100,94.9,76.24,69.9,59.78,89.14,43.46,55.09,44.35,23.41,68.93,7.51,18.56,65.95,38.63,22.41,80.79,70.48,63.43,0.07,38.95,72.13,70.69
51,ARM,Armenia,62.07,56.85,53.55,61.94,69.06,65.56,79.57,73.6,,49.82,66.93,84.51,33.19,36.71,60.04,69.52,58.86,65.02,69.06,,99.99,100,58.27,27.75,92.27,73.6,,,47.73,49.82,50.83,52.35,64.18,97.85,36,84.51,33.19
36,AUS,Australia,74.12,97.95,100,98.44,68.34,58.23,84.64,10.54,58.48,48.18,38.85,99.44,37.79,100,100,100,100,96.88,68.34,100,83.66,77.19,89.41,58.72,87.12,10.54,16.96,100,48.06,45.12,49.6,44.46,59.69,35.8,41.89,99.44,37.79
40,AUT,Austria,78.97,86.38,82.21,94.63,91.08,74.03,91.69,27.6,,62.79,86.31,99.08,71.34,86.88,77.05,81.13,90.4,98.85,91.08,,100,100,77.44,94.06,84.54,27.6,,,49.89,65.06,99,49.55,51.13,92.29,80.33,99.08,71.34
31,AZE,Azerbaijan,62.33,48.55,47.44,48.53,63.09,71.52,63.15,74.2,,73.44,95.36,76.03,39.76,30.57,53.14,64.22,45.77,51.28,63.09,,50.68,61.95,83.61,16.85,95.91,74.2,,,99.99,37.47,31.35,93.74,100,93.51,97.21,76.03,39.76
