"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,4,3.4,4.1,6.3,,,10,6.6,7.1
"Albania","Europe","Southern Europe","Homicide Rate",,,4,6,3.6,8.3,8.8,43.1,21.3,17.1,4.2,7,6.9,5.3,4.2,5,3.1,3.5,3.1,2.9,4.3,4.9,5.4,4.2,4,2.8,3.4,2.3
"Algeria","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,,
"American Samoa","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,1.7,11.9,5.1,6.7,10.1,6.8,1.7,5.3,3.6,9,9,3.6,5.4,5.4,7.2,5.4,
"Andorra","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,1.3,,,0,1.2,0,0,1.2,0,0,0,0,,
"Angola","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,4.4,4.8,,,,,
"Anguilla","Americas","Caribbean","Homicide Rate",0,11.5,0,10.8,0,10.2,0,9.7,0,0,9,0,17.1,16.6,8.1,0,38.8,30.4,7.5,7.4,0,0,35.4,7,27.7,,,
"Antigua and Barbuda","Americas","Caribbean","Homicide Rate",1.5,4.5,2.9,5.7,7,9.5,4,1.3,,,6,8.2,5.8,5.7,4.5,3.4,12.2,18.6,17.3,17.1,6.3,,10.3,,,,,
"Argentina","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,7.5,6.5,6,5.1
"Armenia","Asia","Western Asia","Homicide Rate",5,5.3,8.9,8,4.8,3.6,3.6,3.2,3,2.9,3,2.9,2.3,2.5,2.8,1.9,2.7,2.6,3.3,3.4,1.9,2.5,2.3,2.2,2.5,2.6,3,2.4
"Aruba","Americas","Caribbean","Homicide Rate",0,,,,,7.5,,,,2.2,,4.3,5.3,4.1,2,6,5,3,4.9,3.9,3.9,2,3.9,5.8,1.9,,,
"Australia","Oceania","Australia and New Zealand","Homicide Rate",2.2,2,1.7,1.9,1.8,2,1.9,2,1.8,2,1.9,1.8,1.9,1.5,1.3,1.3,1.4,1.2,1.2,1.2,1,1.1,1.1,1.1,1,1,0.9,0.8
"Austria","Europe","Western Europe","Homicide Rate",1.2,1.3,1.2,1,1.1,1,1.2,0.8,1,0.7,1,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5,0.5,0.7,
"Azerbaijan","Asia","Western Asia","Homicide Rate",4.5,4.9,7.5,6.3,6.5,5.7,5.1,3.6,3.5,3,2.8,2.7,2.6,2.2,2.4,2.2,2.2,2.2,2.2,,2.3,,2.2,2.4,2.5,2.3,2.1,2
"Bahamas","Americas","Caribbean","Homicide Rate",17.6,10.7,15.4,12.9,18.8,14.3,18,16,,,24.8,14.2,16.8,15.8,13.6,15.8,18.2,22.8,20.9,24.5,26.1,34.6,29.8,31.5,32.4,37.7,28.4,30.9
"Bahrain","Asia","Western Asia","Homicide Rate",,,,,,0.9,1.4,1,,,,1.3,1.1,0.4,0.8,0.4,0.7,0.4,0.5,1.1,0.9,0.5,0.3,0.4,0.5,,,
"Bangladesh","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,2.5,2.7,2.6,2.5,2.8,2.5,2.9,2.6,2.8,2.8,2.6,2.6,2.6,2.8,2.8,2.5,2.2,2.2
"Barbados","Americas","Caribbean","Homicide Rate",13.1,8,8.4,8,7.6,6.4,,,7.5,8.6,7.4,9.2,9.2,12.1,8.1,10.6,12.7,9.1,8.3,6.8,11.1,9.6,7.8,8.5,8.8,10.9,7.7,10.5
"Belarus","Europe","Eastern Europe","Homicide Rate",5,4.5,5.8,7.4,8.1,9.5,9.6,10.1,10.3,9.8,10.2,9.8,10.1,9,8.4,8.6,7.7,6.8,5.7,5.1,4.2,3.9,3.6,3.5,3.6,,,
"Belgium","Europe","Western Europe","Homicide Rate",1,1,1.2,1.4,1.2,1.4,1.2,1.4,,,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,1.9,1.8,1.8,1.9,2,1.5,1.7
"Belize","Americas","Central America","Homicide Rate",,,,,,,,,,,16.6,25.1,33.2,24.9,28.6,28.6,31.6,32.5,33.6,30.9,40.1,37.7,43.1,28.8,35,33.1,37.6,37.9
"Benin","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
"Bermuda","Americas","Northern America","Homicide Rate",1.6,4.9,1.6,4.8,9.6,,6.4,3.2,0,3.1,0,4.7,1.5,3.1,1.5,3.1,4.6,4.6,7.7,9.3,10.9,12.6,9.5,8,6.4,6.5,13,8.2
"Bhutan","Asia","Southern Asia","Homicide Rate",3.7,2.2,5.1,3.6,3.9,3.1,2.3,1.3,2,2.3,3.1,3.2,3.1,0.8,2.3,1.7,1.3,2,2.6,2.2,2.2,4.3,4.4,3.1,,1.5,1.1,1.6
"Bolivia (Plurinational State of)","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,5.2,5.2,8.2,8.6,8.4,12.8,12.3,11.9,9,8.9,6.3,6.3,
"Bonaire, Sint Eustatius and Saba","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina","Europe","Southern Europe","Homicide Rate",1.6,,,,,,,,,,2.6,2.2,2.4,,1.8,1.9,1.9,1.7,1.8,1.9,1.5,1.4,1.7,1.3,1.4,1.6,1.3,1.2
"Botswana","Africa","Southern Africa","Homicide Rate",,,,,,,,,,,,12.1,14.3,17.3,14.2,15.7,13.9,14.6,14.4,14.6,15,,,,,,,
"Brazil","Americas","South America","Homicide Rate",19.6,18.5,16.8,17.8,18.7,20.9,21.6,22.2,22.6,22.8,23.7,24.7,25.3,25.7,24,23.3,23.9,23.4,23.8,22.8,22,24.2,26.5,26.8,28.6,28.4,29.7,30.5
"British Virgin Islands","Americas","Caribbean","Homicide Rate",6.1,0,0,0,0,10.9,10.6,,,5,,4.7,4.6,9.1,17.7,,8.4,,,,,,,,,,,
"Brunei Darussalam","Asia","South-Eastern Asia","Homicide Rate",,,,,,,3,2.6,1.3,1.2,1.2,,,0.8,0.6,0.5,0.8,0.8,0.3,0.8,0.3,0.3,1,0.5,,,,
"Bulgaria","Europe","Eastern Europe","Homicide Rate",2.6,4.3,5.3,5.7,5.8,5.9,5.3,4.8,4.7,4.1,4.2,3.9,3.2,3.2,3.2,2.6,2.4,2.3,2.3,2,2,1.7,1.9,1.5,1.6,1.8,1.1,1.5
"Burkina Faso","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,0.6,0.6,0.6,0.5,0.5,0.7,1,0.9,0.8,0.6,0.7,0.7,0.7,0.6,1.1,1.3
"Burundi","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,4.2,4.4,4,3.9,5.4,5.4,5.7,4.5,6,
"Cabo Verde","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,3.3,4.5,9.3,7.3,6,6.9,7.6,7.8,10.4,10.9,10.4,12.3,8.6,11.5,
"Cambodia","Asia","South-Eastern Asia","Homicide Rate",,,4.5,6,2.9,3.7,4.9,2.8,6.8,4.9,4.7,3.3,3.4,4,3.9,3.4,3,2.9,2.4,2.3,2.3,1.8,,,,,,
"Cameroon","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,3,4.8,6.4,6.1,,,,,4.1,6.6,5,4.1,4.2,,1,1.2,1.2,1.4
"Canada","Americas","Northern America","Homicide Rate",2.4,2.7,2.6,2.2,2.1,2,2.1,2,1.9,1.8,1.8,1.8,1.9,1.7,2,2.1,1.9,1.8,1.8,1.8,1.6,1.8,1.6,1.4,1.5,1.7,1.7,1.8
"Cayman Islands","Americas","Caribbean","Homicide Rate",8,7.6,3.6,7,6.7,6.3,3,5.6,2.6,0,9.6,4.6,0,6.5,10.6,6.2,2,3.9,7.6,14.7,16.2,,,8.6,8.4,,,
"Central African Republic","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,
"Chad","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channel Islands","Europe","Northern Europe","Homicide Rate",,,,,,,,,,,,,,,,0.6,1.3,,0.6,,0,,,,,,,
"Chile","Americas","South America","Homicide Rate",,,,,,,,,,,,,,3.2,,3.6,3.6,3.7,3.5,3.7,3.2,3.7,2.5,3.2,,3.4,3.4,4.3
"China","Asia","Eastern Asia","Homicide Rate",,,,,,2.2,2,2.1,2.1,2,2.1,2,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6
"China, Hong Kong Special Administrative Region","Asia","Eastern Asia","Homicide Rate",2.4,1.6,1.8,1.4,1.6,1.2,1.2,1.6,1,1,0.6,1,1,0.8,0.7,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4,0.9,0.4,0.3,0.4,0.3
"China, Macao Special Administrative Region","Asia","Eastern Asia","Homicide Rate",,5.4,1.9,3.5,4,2.1,4.3,7.5,5.9,8.8,2.3,1.8,0.4,1.7,0.8,0.8,2,1.2,0.8,1.1,0.4,0.7,0.7,0.2,0,0.2,0.2,0.3
"China, Taiwan Province of China","Asia","Eastern Asia","Homicide Rate",,,,,,,,,,,,1.4,,,,,1,0.8,0.8,0.8,0.8,,0.8,0.7,,0.8,,
"Colombia","Americas","South America","Homicide Rate",71,81.4,79.3,78.6,73.5,59.6,61.4,60,58.8,61.2,65.7,67.9,68.3,55.8,47.3,41.8,39.9,38.8,35.9,34.8,33.7,34.8,35.1,32.6,27.9,26.5,25.5,24.9
"Comoros","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
