ref_area.label,indicator.label,source.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Afghanistan,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AFG - HIES - Living Condition Survey,Sex: Total,2017,42.0075,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AFG - HIES - Living Condition Survey,Sex: Male,2017,18.2544,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AFG - HIES - Living Condition Survey,Sex: Female,2017,65.8943,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2004,30.9574,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2004,22.3714,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2004,38.3444,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2009,25.8123,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2009,20.2626,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2009,30.8455,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2011,10.0089,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2011,7.613,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2011,12.2296,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2007,33.7696,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2007,30.8427,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2007,36.7426,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2008,28.1176,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2008,25.3357,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2008,30.7965,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2009,30.7338,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2009,25.1266,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2009,35.7559,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2010,29.5019,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2010,25.6859,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2010,33.4247,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2011,30.011,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2011,27.6522,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2011,32.5184,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2012,27.6544,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2012,25.9601,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2012,29.6879,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2013,30.9775,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2013,29.8192,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2013,32.0409,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2014,31.3918,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2014,30.1678,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2014,32.6463,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2015,29.8157,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2015,28.4848,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2015,31.2828,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Total,2016,27.3914,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Male,2016,27.1917,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",ALB - LFS - Labour Force Survey,Sex: Female,2016,27.6218,,,Repository: ILO-STATISTICS - Micro data processing
