Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,18-09-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000877822,0.001166588,0.000819402,0.001002505,0.000848353,0.000717946,0.000703182,0.000712081,0.000657312,0.000699945,0.000685563,0.000653321,0.000942156,0.000915666,0.000933343,0.000967649,0.002287412,0.001921868,,,,,
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.285092593,0.344531632,0.397964352,0.768116118,0.910773434,1.328856194,1.329179684,1.18281271,1.12178087,1.185680182,1.342368713,1.065726741,,,,,,,,,,,,,,,,,,,,2.195208563,1.474604256,1.066995656,0.808005709,0.916505654,1.130887445,0.820020716,0.990435255,0.586301895,0.727903283,0.76930126,0.691525064,0.736151873,0.72869488,0.702834017,
Angola,AGO,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,21.27082057,11.77362358,24.01423497,24.19162739,25.74162611,36.15274846,18.22473989,46.12594236,42.56069927,53.0143638,51.01340071,47.57884399,42.79438497,25.83629129,49.559859,61.95669792,45.59173761,38.35699397,36.6540436,45.19068005,59.90822153,54.13524188,51.32109455,58.05638921,28.12215475,39.03144574,44.50494572,41.55948199,34.8920999,27.53249446,11.25141521,
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,17.45219335,16.84141235,7.256516718,9.312573791,10.39489775,11.76429252,10.74024111,9.110417607,10.57763684,3.061971938,1.624685398,1.294732245,1.258225095,1.296985756,0.260727824,0.506338332,1.048355597,0.68929621,0.725211854,0.716866948,0.569573657,0.957746591,1.445545115,2.06404788,1.677104682,0.980775143,2.063552068,3.530002123,3.693261942,3.720506405,3.635540325,1.778799931,
Andorra,AND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Arab World,ARB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.424757943,0.356527318,0.359374541,0.64893554,31.04732563,25.02997998,26.46221098,26.47091972,24.36837362,55.51409355,46.62331806,31.18245288,20.86510489,21.28033611,20.97514751,18.5305519,10.32058928,14.10331386,13.12324283,20.04205226,21.56642738,17.03442225,17.51570888,16.76622839,14.78332115,15.67625711,19.07105319,16.3882027,9.954651027,13.99179542,23.41044845,18.95113141,18.49238087,21.7461057,27.25034175,34.33725266,34.98100557,31.99796117,36.62407784,22.79727871,27.33161226,33.47126575,32.0019247,29.61396843,26.48263652,15.24465784,
United Arab Emirates,ARE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,24.10339959,27.25484524,24.07010946,23.73970851,51.5036784,38.98416758,27.3917744,18.46866939,19.96812996,20.81981656,19.10264615,12.3718897,18.35589573,15.75562239,24.49960593,32.25403696,20.71856779,20.46083542,17.52522547,14.20213055,14.04251916,17.12173496,14.44825563,8.381272927,11.12714046,18.58037942,14.14581173,12.76005243,15.65176031,18.53269689,21.94534578,24.21289977,22.0571777,25.1552694,16.79299237,20.83524458,25.85533643,26.17097344,25.33985641,22.48196028,11.94932376,
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.11187304,0.114667019,0.134847717,0.161408234,1.234207989,1.643300471,1.911733665,1.671997394,1.682818789,4.701133267,5.747629987,4.628466439,2.488956933,2.929977476,3.513364261,2.948709481,0.952783277,1.478547968,1.195927494,3.072810298,2.293350813,0.986181458,0.953049722,0.948065077,0.863776137,1.064967479,1.446770183,1.230396818,0.629029102,1.125528022,2.100668347,1.700908801,4.828614236,4.279939104,4.466140873,5.444644046,5.912039122,4.915004836,5.050854683,2.877488206,3.138176195,3.695216355,3.475532852,2.977023115,2.950115322,1.183329508,
Armenia,ARM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.105580641,0.102695245,0.46853221,0.731845512,0.511192046,0.551488161,0.160954535,0.141426531,0.363153248,0.296621494,0.460033866,0.520582254,0.973893202,0.901248507,1.788808562,1.297041924,1.294546362,1.656626805,2.992090322,3.972322996,3.99123581,3.43830975,3.588141051,3.485905453,
American Samoa,ASM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
