"iso3c","country","variablename","1995","2002","2004","2005","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan","Access to justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.271685423,NA
"AFG","Afghanistan","Aid Dependency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"AFG","Afghanistan","Armed Security Officers per 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.779
"AFG","Afghanistan","Battle Related Deaths Per Capita (log)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94023151857424,NA
"AFG","Afghanistan","Control over territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63,NA,NA
"AFG","Afghanistan","Core civil society index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.738934548,NA
"AFG","Afghanistan","Deaths by non-state actors per capita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02729853050434,NA
"AFG","Afghanistan","Decentralised Elections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.182394691,NA
"AFG","Afghanistan","Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.398,NA,NA
"AFG","Afghanistan","Environmental Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.92,NA
"AFG","Afghanistan","Food Security",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA
"AFG","Afghanistan","Formal Alliances",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
"AFG","Afghanistan","GDP Growth Rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0102919522000124,NA,NA
"AFG","Afghanistan","Gender Inequality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667,NA,NA
"AFG","Afghanistan","General government gross debt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.271,NA,NA,NA
"AFG","Afghanistan","Government Effectiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2221063375473,NA
"AFG","Afghanistan","Homicide Rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55300874433083,NA,NA,NA,NA,NA
"AFG","Afghanistan","Horizontal inequality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.55133293,NA
"AFG","Afghanistan","Impact of Terrorism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.441,NA
"AFG","Afghanistan","Judicial Constraints on Executive Power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.434254626,NA
"AFG","Afghanistan","Legislative Constraints on Executive Power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.807636894,NA
"AFG","Afghanistan","Level of Violent Criminal Activity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"AFG","Afghanistan","Males in Labour Force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.6,NA,NA
"AFG","Afghanistan","Natural Disasters Risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"AFG","Afghanistan","NEET",NA,NA,NA,29.0999999046326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG","Afghanistan","Perception of Corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA
"AFG","Afghanistan","Police Officers per 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5
"AFG","Afghanistan","Political Terror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,NA,NA
"AFG","Afghanistan","Prevalence of Infectious Disease (deaths per 100,000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971.290397983613,NA
"AFG","Afghanistan","Regime Persistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA
"AFG","Afghanistan","Regulatory Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32791936397552,NA
"AFG","Afghanistan","Remoteness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9135627746582,NA,NA
"AFG","Afghanistan","Resource Rent Dependence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.702834017,NA,NA
"AFG","Afghanistan","Restricted Gender Physical integrity Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA
"AFG","Afghanistan","Rule of Law",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61642956733704,NA
"AFG","Afghanistan","Socio-Economic Vulnerability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA
"AFG","Afghanistan","Unemployment Rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53999996185303,NA
"AFG","Afghanistan","Uprooted people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA
"AFG","Afghanistan","Urbanisation Growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28296,NA
"AFG","Afghanistan","Violent Conflict Risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"AFG","Afghanistan","Voice and Accountability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08621954917908,NA
"AFG","Afghanistan","Women in Labour Force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.1,NA,NA
"AGO","Angola","Access to justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.498631709,NA
"AGO","Angola","Aid Dependency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
"AGO","Angola","Armed Security Officers per 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63
"AGO","Angola","Battle Related Deaths Per Capita (log)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"AGO","Angola","Control over territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.85714286,NA,NA,NA,NA,NA
"AGO","Angola","Core civil society index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.433414812,NA
"AGO","Angola","Deaths by non-state actors per capita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"AGO","Angola","Decentralised Elections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.228733202,NA
"AGO","Angola","Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.482,NA,NA
"AGO","Angola","Environmental Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.18,NA
"AGO","Angola","Food Security",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA
"AGO","Angola","Formal Alliances",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA
"AGO","Angola","GDP Growth Rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0105936590898539,NA,NA
"AGO","Angola","General government gross debt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.883,NA,NA
"AGO","Angola","Government Effectiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03937697410583,NA
"AGO","Angola","Homicide Rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64950468544168,NA,NA
"AGO","Angola","Horizontal inequality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.458854829,NA
"AGO","Angola","Impact of Terrorism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154,NA
"AGO","Angola","Judicial Constraints on Executive Power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.544011549,NA
"AGO","Angola","Legislative Constraints on Executive Power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.116274212,NA
"AGO","Angola","Level of Violent Criminal Activity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA
"AGO","Angola","Males in Labour Force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.1,NA,NA
"AGO","Angola","Natural Disasters Risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
"AGO","Angola","NEET",NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
"AGO","Angola","Perception of Corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,NA
"AGO","Angola","Police Officers per 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5
"AGO","Angola","Political Terror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"AGO","Angola","Prevalence of Infectious Disease (deaths per 100,000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759.704871167736,NA
"AGO","Angola","Regime Persistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,NA
"AGO","Angola","Regulatory Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00138103961945,NA
"AGO","Angola","Remoteness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5998077392578,NA,NA
"AGO","Angola","Resource Rent Dependence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25141521,NA,NA
"AGO","Angola","Restricted Gender Physical integrity Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5041,NA,NA,NA
"AGO","Angola","Rule of Law",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08052217960358,NA
"AGO","Angola","Socio-Economic Vulnerability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA
"AGO","Angola","Unemployment Rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5789999961853,NA
"AGO","Angola","Uprooted people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA
"AGO","Angola","Urbanisation Growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09825,NA
"AGO","Angola","Violent Conflict Risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"AGO","Angola","Voice and Accountability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16735506057739,NA
"AGO","Angola","Women in Labour Force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.9,NA,NA
