"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9852460527447","52.0312282238545","52.0837634870166","52.0734098425041","52.0611123744513","52.1671098333977","51.8694593277228","51.5881114704797","51.3860248182244","51.2524366327694","51.1376950344562","51.4109996136572","51.7916181482134","52.1989722099602","52.5877729547365","52.9649551402151","52.4885641747283","52.0379292160652","51.6978185709195","51.5603678961033","51.6722279216976","52.4590141977086","53.486820605636","54.6682696056433","55.8981079197497","57.1107456287743","58.1045390474797","59.0081285907901","59.244646865329","59.4791057905014",
"Angola","AGO","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2002784257232","92.0590623849209","92.0074757300043","91.8449563649067","92.0370734543947","92.3168003107212","92.3691635286268","92.4558106167674","92.5853588099503","92.7250220441998","92.8821125000034","92.8712954203973","92.80543074443","92.8894321173019","93.0400859586116","93.262465242331","93.3276990604501","93.4620744899799","93.5528426119422","93.5519510234664","93.5897627961256","93.5311296438274","93.5556318455025","93.6520756915223","93.7698030903414","93.9038783017618","93.978035825644","94.1031886090141","94.1626037435068","94.2279602736201",
"Albania","ALB","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.0993821212599","74.7662601121449","75.2465666205098","74.2976375028801","73.5988418710063","72.7329329780968","71.9124727911118","72.3882834220922","71.6274300838453","70.7464041567964","70.2991564784793","69.9447142438164","69.809631916083","70.0495555158396","70.3715937006117","70.7652180869525","71.2509373280417","71.7628300550338","72.2840172831228","69.9076087582108","72.5469959865247","73.1303625392493","73.8176295714549","71.2735076319824","70.1120839770832","73.1664590939729","72.9453925014733","72.7921697877114","72.7335765539295","72.7097264648987",
"Andorra","AND","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7275123277082","25.8199378378535","25.5978733186716","25.8429315544756","26.2925846167482","26.5477880332015","26.5271841516158","26.3204356419462","26.2302805428564","26.7525439193907","26.8923675192572","27.031197661319","26.5381470438149","26.916808036878","27.1597101718715","27.3907326734532","27.7853292083584","28.5985289797661","28.2586417576513","28.7187454980405","28.9033473806773","29.1538165688992","29.4653654541836","29.8610597164792","30.0226639635894","30.080886006626","30.4163728137105","30.4251466098897","30.4365677605786","30.4321123243126",
"United Arab Emirates","ARE","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.29902212014","32.0283471433326","32.6063401101562","33.2561608252048","33.6086057426494","33.9192916055216","34.5473459687022","35.1682919308807","35.7638216744306","36.326724088417","36.8501605163671","37.5502889287792","38.215292559631","38.8742895180236","39.5291240300424","40.1696563301591","41.694429641678","43.0237870325344","44.2466023313425","45.4186101081752","46.5708356221437","47.8412476307722","49.040686676265","50.1565292526642","51.1885358815187","52.1549998795698","53.3280852842714","54.8058098333658","54.7821527006609","54.6709092487707",
"Argentina","ARG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.7927671391909","58.7592224529309","60.849767836285","62.4112342526242","63.8443159590964","64.1259436949487","65.3553596651855","66.6871056319699","67.3973241849421","67.1156991111599","66.9835243344478","66.4880428421244","65.0089259510255","65.5965482937646","66.2248139457707","65.3539401670821","66.0075349033082","65.2685724339935","64.5571968636953","65.48061831241","64.358275957783","64.5647122218391","65.0284088218179","64.6474738752283","64.1810173183884","65.2002046542939","66.259378768517","67.3208988592036","67.2420422371051","67.1545862064658",
"Armenia","ARM","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.4810830870176","69.5825091285691","69.7402864325249","69.94353452046","70.1819139987303","70.4473860458568","70.7702203796717","71.0994719618552","71.4355421054828","71.7687039645413","72.0850631463383","72.1993502637612","72.2610958412808","72.2668657410396","72.210990866582","72.1033016928343","71.9010422735866","71.6787719563453","71.4296373146982","71.3469043902605","69.2391527714496","73.4766366484904","73.6992160814633","74.5809071075352","73.3859750682874","72.9244742918563","70.8821411613554","70.9018330926914","70.9562498150446","71.0318600211409",
"American Samoa","ASM","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
