"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398144981.36327","473189049.925187","579384500.969464","684019446.829983","757121754.065994","864373351.955307","948798379.888268","1065102625.69832","1225688268.15642","1305279329.60894","1362139664.80447","1508759776.53631","1659513966.48045","1680117318.43575","1849430167.59777","1862849162.01117","1805642458.10056","1967821229.05028","2154189944.13408","1852067039.10615","2318715083.79888","2230335195.53073","2628547486.03352","2410055865.92179","2250223463.68715","2302793296.08939","2418547486.03352","2563268715.0838","2688000000","2838156424.58101","2848441340.78212","2921759553.07263","2991584752.18033","","","",
"Africa Eastern and Southern","AFE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","147037378175.512","154030983429.858","146784526221.514","155095139510.749","142893860584.285","124755438449.29","141150118096.727","174736042773.946","182075416067.803","189517749266.307","205659427844.727","215025099164.365","209698033847.616","221101564454.454","229407997989.137","260260548876.359","258742414899.833","273043090718.457","257107335061.505","252562243831.505","273450279606.578","248318692276.73","254365602249.234","339806036304.186","423603288186.065","493113293996.646","552476005408.781","629873074944.432","669508407615.809","683767778801.25","809262132628.584","902421463493.292","915990525916.708","927513103844.346","950310270587.006","891314941480.621","853742059649.099","958649173579.302","985696008290.139","985468144130.468","901606413475.903","",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","","","","","","","","","","12380756376.6345","15884609986.5283","17785698870.9887","19938663918.9461","20216694880.4724","20494754799.9192","19307190568.0691","18297097175.3722","19000254382.5096","18240838101.739","19098305631.2786","20304823185.2705","",
"Africa Western and Central","AFW","GNI (current US$)","NY.GNP.MKTP.CD","10172976883.8323","10894221748.0402","11765408070.1581","12553520361.3879","13680100322.5967","14638059767.415","15662973372.9008","14067929434.8278","14379206153.1163","16344984970.3615","22713422143.2054","19812712492.4727","23957584801.2438","29588735925.4646","42652777792.8631","49907191589.5099","60300916579.6827","63524076709.7327","69762627177.2253","86672639435.6588","106188270391.204","207147347051.757","184062937421.161","135270121945.442","111796209301.354","113574760874.834","104318003419.337","105878610306.59","106015924852.394","96712782205.5603","114943753160.935","111154023363.547","111522889159.434","92596087968.0103","81242671010.3492","102164592959.745","113688116011.727","115259024607.806","117664793880.9","126639612680.778","124242650677.711","133318308915.422","159933333599.783","183803940357.719","227979857904.929","280711669146.538","373642169873.938","432643904339.561","529380795033.358","473465845298.194","549615423785.986","621759674710.302","680881610373.412","768869502883.638","818976865809.144","738754021948.959","671661614226.765","659368208575.052","708744643373.831","764613284446.342","757277045282.504","",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684491978.60963","6684491978.60963","6684491978.60963","6684491978.60963","10026737967.9144","10026737967.9144","10603784541.197","3498025673.08989","3237547175.39543","1943279029.73498","4771491965.00864","5829677653.68921","6730621459.63535","5537462252.37138","4780903500.91375","7448767581.29575","7375076435.20009","13650938445.0336","16086223836.3248","21063484641.148","32940028095.7467","46203141535.012","57667420502.4111","74821071498.8259","63484025273.4841","75712633817.0538","102092364937.169","117631104835.128","126809806035.747","136862298383.356","110286109906.073","95850167792.3992","114618206700.981","93523683283.3905","81900890781.2989","53451976292.9678","",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860538011.88334","1898450133.4326","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894751525.25858","2436364853.42107","3271323621.58836","2308847102.93115","2622487165.91691","3287389862.41854","3585007221.82101","4048094111.09564","4457186384.03827","5762066193.23098","7353974652.91914","8214104793.91771","9158292067.34935","10975296230.4775","12946374021.6891","11852739420.9823","11807765688.1544","12894104016.2227","12228065466.1217","12996539294.3261","13349419700.4171","11521808375.0854","12053832974.203","13051480688.4971","15137993151.167","15198661275.1113","14637399664.9793","",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","47536631009.8395","54057587072.2274","64265360651.7085","81045644378.8554","158673383174.144","180905731789.59","227736982959.379","258335515853.809","283968327749.977","377865747845.776","510374431850.133","517403058219.749","488349581914.474","463697241346.261","470419396630.499","470799491167.109","463461878904.285","496464137704.069","489249425995.183","511766916455.898","705103852809.935","443373328312.097","476631193914.709","485458109161.057","502522671201.56","559145079900.284","606577747415.758","655388646282.805","637343325752.694","700075190059.696","796768261498.565","784098282162.029","792448918283.542","873535008967.277","1044492857776.08","1279183387539.98","1529144328863.46","1794105734313.91","2252244915980.2","1961682897116.89","2271419127827.65","2476849889581.77","2724253125448.84","2790293349051.73","2827946434903.48","2471507746168.52","2426767140585.22","2481661303861.47","2731395128508.24","2772643360583.49","2465055521143.1","",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503785187.202","226854458815.521","266289176310.415","319278564002.723","256161470388.019","289703471749.489","350801361470.388","374890129339.687","390570456092.58","403796051735.875","359877739959.156","359141729067.393","388382906439.755","423639141620.15","419284994503.153","358405865242.998","",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","","","25083407626.9357","18744951947.7684","26267861213.2167","29078234021.4454","29796191127.5341","24344243038.8777","26044571826.7842","31036571602.8723","30396317996.8419","33634600190.9299","34199500220.4044","52722220653.6761","72679890116.6394","53148109437.7931","51185002820.9107","56339203223.2598","57716474115.782","68626165140.837","76286574002.8188","76842107526.2031","79243829293.0471","98072174234.6778","74996801894.5786","83672502113.7452","105922220616.456","105942857983.875","120715908148.068","70219462542.1818","135150027050.147","183857364656.529","224530580052.493","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224834650825.104","279935852673.42","352523846400.604","322657609584.289","409079888900.219","515090214471.667","532228535071.924","538860312670.019","514705826245.374","583505276663.537","545329417130.815","627251051857.487","506152916906.923","434037404777.55","379089872799.568","",
