"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ASI","Asia","AUS","Australia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","AUS","Australia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",3.2,,
"ASI","Asia","AUS","Australia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.9,,
"ALL","All regions","AUS","Australia","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","AUS","Australia","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",3.2,,
"ALL","All regions","AUS","Australia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.9,,
"EUR","Europe","AUT","Austria","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","AUT","Austria","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",3,,
"EUR","Europe","AUT","Austria","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ALL","All regions","AUT","Austria","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","AUT","Austria","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",3,,
"ALL","All regions","AUT","Austria","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"EUR","Europe","BEL","Belgium","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"EUR","Europe","BEL","Belgium","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"EUR","Europe","BEL","Belgium","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"ALL","All regions","BEL","Belgium","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","BEL","Belgium","HIN","High income","RPI_VAW_ATT","Attitudes","2019","2019",2,,
"ALL","All regions","BEL","Belgium","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"AME","Americas","CAN","Canada","HIN","High income","RPI_VAW_LAW","Law","2019","2019",0.25,,
