PROD (%GWh),2011,2012,2013,2014,2015,2016,2017,2018,2019
World,19.9,20.9,21.5,22.3,22.8,23.7,24.3,24.9,26.0
Africa,17.5,17.2,17.7,18.1,18.0,18.3,18.9,19.8,20.6
Algeria,0.9,1.0,0.5,0.6,0.5,0.6,0.8,1.0,1.0
Angola,66.3,55.4,38.6,45.1,44.5,50.6,64.5,69.8,71.9
Benin,0.0,0.3,0.0,0.3,2.0,2.0,1.6,1.6,0.4
Botswana,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2
Burkina Faso,16.9,16.7,15.6,11.6,10.5,15.8,14.2,17.9,26.2
Burundi,95.0,98.9,91.8,88.9,89.6,92.2,88.4,82.7,76.2
Cabo Verde,7.0,19.0,21.3,22.2,20.3,18.6,17.6,20.8,18.7
Cameroon,88.0,85.9,80.9,80.5,77.7,77.8,79.5,79.5,79.5
Cent Afr Rep,99.8,99.8,99.8,99.8,99.8,96.3,96.3,96.3,96.3
Chad,0.0,0.0,0.1,0.1,0.1,2.7,2.7,2.8,2.8
Comoros,8.0,7.9,8.2,8.7,0.0,0.0,0.0,0.0,0.0
Congo DR,99.9,99.5,99.9,99.9,98.3,99.3,99.2,98.9,98.9
Congo Rep,61.2,58.1,53.4,47.7,43.3,40.8,42.2,40.0,40.0
Cote d Ivoire,29.6,25.9,21.3,23.5,15.9,15.2,20.6,29.7,32.8
Djibouti,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Egypt,9.4,9.3,8.8,8.4,8.3,8.7,8.4,8.1,9.0
Eq Guinea,2.3,8.1,14.3,14.3,14.3,13.1,12.1,11.9,11.9
Eritrea,0.6,0.6,0.6,4.2,4.0,4.1,4.9,7.9,8.8
Eswatini,99.8,99.8,99.8,99.8,99.8,99.7,99.7,99.7,99.8
Ethiopia,99.4,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0
Gabon,45.8,46.3,49.5,44.8,48.3,41.6,49.0,54.0,54.0
Gambia,1.4,1.3,1.3,1.3,1.0,0.9,0.9,0.9,0.9
Ghana,67.6,67.2,64.0,64.8,51.0,43.1,40.3,37.5,40.4
Guinea,25.5,33.4,24.8,60.6,79.2,68.5,69.7,62.3,63.4
Guinea Bissau,0.0,0.0,0.0,0.0,1.4,1.3,1.3,4.8,4.8
Kenya,68.0,71.1,72.3,75.4,83.6,82.1,78.7,78.7,79.7
Lesotho,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,99.9
Liberia,18.8,18.8,18.5,18.5,18.5,17.7,56.5,56.6,56.6
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,54.6,54.4,54.5,57.6,61.0,54.2,46.8,55.3,49.1
Malawi,99.4,99.4,99.4,99.5,99.8,99.8,97.1,77.3,77.3
Mali,61.5,67.0,73.3,68.6,65.1,63.7,60.4,60.4,60.4
Mauritania,0.0,0.0,4.8,5.1,13.1,15.7,15.9,22.4,27.9
Mauritius,20.0,20.3,20.6,20.3,22.7,21.8,20.0,20.7,21.7
Mayotte,5.3,5.4,5.2,5.0,4.7,4.6,5.1,5.0,5.0
Morocco,11.2,9.2,15.6,12.9,14.9,15.3,14.8,19.0,18.9
Mozambique,99.9,99.8,99.8,99.8,99.7,99.7,99.7,97.5,95.4
Namibia,96.3,95.2,95.8,92.3,90.8,90.4,91.6,91.0,91.0
Niger,1.5,1.4,1.6,1.8,1.9,2.1,2.4,5.9,5.9
Nigeria,19.9,18.8,20.7,19.8,20.1,28.6,24.6,22.9,25.3
Reunion,30.3,34.6,37.8,33.0,36.1,34.1,32.4,36.4,31.2
Rwanda,53.4,56.3,47.9,53.0,60.6,50.4,49.9,36.1,54.1
Sao Tome Prn,8.9,8.3,7.2,6.7,5.9,6.0,6.2,6.2,6.2
Senegal,5.0,4.4,3.1,2.8,3.2,3.6,7.2,14.7,14.8
Seychelles,0.0,0.0,2.0,2.2,2.2,2.3,2.3,2.9,2.9
Sierra Leone,87.1,73.9,62.0,82.7,74.2,73.8,75.6,75.6,75.6
Somalia,0.0,1.1,1.1,1.1,1.5,3.4,4.6,4.7,4.7
South Africa,1.0,0.7,0.7,1.0,1.6,2.1,2.9,3.5,3.7
South Sudan,,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.2
Sudan,76.8,70.0,78.7,78.6,64.9,56.2,61.7,60.9,61.4
Tanzania,46.7,43.8,39.6,49.7,35.5,36.3,36.2,33.5,34.8
Togo,63.0,45.1,23.9,62.3,15.3,23.9,23.1,37.3,32.9
Tunisia,1.0,1.7,2.4,3.1,3.0,3.2,2.9,3.1,3.7
Uganda,63.4,90.5,99.9,97.4,97.5,98.2,93.8,95.2,97.7
Zambia,99.9,99.9,99.9,97.2,97.0,94.3,86.3,84.7,82.8
Zimbabwe,58.1,61.0,56.3,56.2,54.9,42.0,52.5,60.7,60.7
Asia,15.2,17.1,17.4,19.1,19.8,20.6,21.2,21.8,22.9
Afghanistan,74.4,79.8,81.0,85.5,87.6,87.7,86.9,83.8,86.8
Bangladesh,2.1,2.0,1.8,1.5,1.8,2.0,1.9,1.6,1.4
Bhutan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Brunei Darsm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,6.8,37.5,58.0,61.3,49.3,48.0,42.2,59.1,48.8
China,16.7,20.0,20.0,22.5,23.8,24.7,24.9,25.3,26.5
Chinese Taipei,2.9,3.6,3.7,3.2,3.4,4.2,4.0,3.9,4.9
India,15.9,16.5,15.6,16.6,15.3,14.0,14.6,15.7,17.0
Indonesia,15.9,14.9,15.8,14.5,13.8,15.4,16.2,17.0,16.1
Japan,9.9,9.4,10.4,12.1,13.8,14.1,15.5,16.4,17.8
Kazakhstan,9.1,8.2,7.5,8.8,10.4,12.8,11.4,10.5,11.0
Korea DPR,62.6,62.8,62.6,61.4,52.7,53.6,50.7,51.5,46.3
Korea Rep,1.4,1.4,1.6,1.6,1.9,2.8,3.3,3.9,4.7
Kyrgyzstan,93.4,93.5,93.5,91.4,85.2,87.6,91.9,91.0,91.7
Lao PDR,100.0,100.0,100.0,100.0,100.0,98.9,97.7,97.2,96.8
Malaysia,6.9,8.1,9.3,10.1,11.4,13.5,17.4,17.0,16.4
Maldives,0.5,0.7,0.8,1.4,1.4,2.0,2.5,2.4,3.0
Mongolia,1.4,1.3,2.4,3.8,4.0,4.4,4.4,7.2,9.6
Myanmar,72.7,71.4,77.1,66.4,62.3,60.4,60.9,61.2,51.5
Nepal,99.9,99.7,99.6,99.9,100.0,100.0,100.0,100.0,100.0
Pakistan,31.4,31.0,32.3,32.2,32.5,31.7,28.0,27.1,30.9
Philippines,28.4,28.0,25.9,24.8,24.6,23.5,23.9,22.7,20.2
Singapore,3.4,3.4,3.9,4.0,4.2,4.6,4.3,4.1,4.2
Sri Lanka,41.2,29.5,60.3,53.1,48.7,32.9,30.8,45.4,34.8
Tajikistan,99.5,99.3,99.5,98.1,98.0,96.3,94.4,93.2,92.8
Thailand,12.0,11.6,11.3,12.0,12.2,20.4,19.4,22.7,23.9
Timor Leste,0.9,1.0,0.8,0.7,0.6,0.5,0.5,0.5,0.4
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,16.1,16.4,16.0,16.0,16.0,13.9,13.5,10.1,11.2
Viet Nam,41.9,48.9,46.9,43.4,36.2,37.0,46.5,40.9,43.1
C America + Carib,24.2,26.0,26.2,26.3,27.3,28.7,33.2,34.1,31.0
Anguilla,0.0,0.1,0.1,1.0,1.6,2.3,2.3,1.9,2.4
Antigua Barb,0.1,0.1,0.2,0.2,1.6,1.6,1.7,2.7,5.8
Aruba,12.1,14.8,16.3,17.6,18.9,15.7,14.7,15.1,15.4
Bahamas,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Barbados,0.3,0.3,0.4,1.0,1.3,2.1,3.0,3.0,3.8
Belize,98.0,94.6,97.4,96.7,93.2,92.2,92.0,84.3,60.2
BES Islands,24.7,28.6,31.6,34.3,31.9,31.4,26.1,33.3,28.7
Br Virgin Is,0.7,0.7,0.7,0.7,0.7,0.8,0.5,0.5,0.5
Cayman Is,0.0,0.0,0.0,0.0,0.0,0.3,1.3,2.1,2.3
Costa Rica,91.2,91.8,88.2,89.7,99.0,98.2,99.7,98.6,99.2
Cuba,3.3,3.8,5.0,4.4,4.4,4.4,3.9,3.7,4.4
Curacao,7.0,6.9,13.3,16.3,18.2,15.9,21.2,29.3,27.2
Dominica,36.3,27.0,37.0,30.6,23.5,33.1,32.5,37.7,22.3
Dominican Rep,10.3,11.7,12.6,9.5,7.6,11.2,15.3,14.0,12.1
El Salvador,63.1,60.4,60.4,60.3,58.5,59.0,74.9,77.9,71.2
Grenada,0.3,0.4,0.5,0.6,0.8,1.2,1.5,1.5,1.6
Guadeloupe,12.1,15.6,17.4,18.4,17.8,17.6,20.5,21.4,22.2
Guatemala,63.3,65.2,66.2,66.9,58.0,59.1,69.9,70.0,68.7
Haiti,12.5,20.2,13.5,8.9,8.2,6.8,6.9,9.2,9.2
Honduras,44.0,44.7,41.5,40.9,45.5,49.6,56.5,59.8,52.2
Jamaica,6.6,6.9,6.5,7.1,6.9,8.4,10.2,11.4,13.0
Martinique,3.4,6.3,5.8,6.9,7.0,7.0,5.8,11.6,24.7
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
