HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
169, Afghanistan,39.3,,39.3,,39.3,,45,,44.8,,44.8,,45.4,,45.4,,45.4,,45.4,"a,b"
69, Albania,12.7,,11.9,,11.9,,11.9,,11.9,,11.9,,9.1,,8.5,,12.3,,12.3,"a,b"
91, Algeria,..,,..,,..,,..,,..,,..,,33.7,,33.7,,33.7,,33.7,"a,b"
36, Andorra,..,,..,,..,,..,,..,,..,,..,,9.4,,10,,10,"a,b"
148, Angola,26.2,,..,,34.6,,34.6,,34.6,,34.6,,34.3,,34.3,,34.3,,34.3,"a,b"
46, Argentina,12.1,,12.1,,12.1,,8.6,,8.1,,8.1,,6.1,,6.2,,6.2,,6,"a,b"
81, Armenia,6.5,,6.5,,3.7,,3.7,,3.7,,3.7,,2.9,,2.9,,2.9,,2.9,"a,b"
8, Australia,1.7,,1.7,,1.7,,1.8,,1.9,,1.9,,3.7,,2.6,,2.7,,2.7,"a,b"
18, Austria,2.4,,2.4,,2.5,,3.7,,3.5,,4.3,,2.6,,2.6,,3,,2.9,"a,b"
88, Azerbaijan,12,,8.3,,8.3,,8.3,,8.3,,8.3,,4.3,,3.8,,5.3,,5.3,"a,b"
58, Bahamas,7.9,,7.9,,..,,8,,..,,..,,..,,6.3,,6.3,,6.3,"a,b"
42, Bahrain,..,,..,,..,,..,,..,,..,,..,,19,,22.7,,22.7,"a,b"
133, Bangladesh,44.8,,39.4,,39.4,,37.8,,38.6,,37.3,,37.3,,37.3,,37.7,,37.3,"a,b"
58, Barbados,..,,..,,..,,..,,5.5,,5.5,,5.5,,5.5,,5.5,,5.5,"a,b"
53, Belarus,8,,5.4,,5.4,,4.8,,3.7,,3.7,,3.7,,3.7,,3.7,,3.7,"a,b"
14, Belgium,5.2,,6.5,,7.6,,9.2,,8.1,,8.1,,9.3,,8.7,,7.7,,8.2,"a,b"
110, Belize,19.8,,..,,..,,..,,15.9,,15.9,,15.9,,15.9,,15.9,,15.9,"a,b"
158, Benin,44.1,,42,,42,,42,,44.8,,44.8,,44.8,,43.7,,43.7,,43.7,"a,b"
129, Bhutan,..,,44.8,,12.2,,13.3,,44.8,,44.8,,44.8,,41.7,,41.7,,41.7,"a,b"
107, Bolivia (Plurinational State of),28.7,,27.6,,27.6,,27.6,,24.7,,20.8,,20.6,,20,,20,,17.6,"a,b"
73, Bosnia and Herzegovina,19.4,,5.2,,5.2,,5.2,,12.5,,12.5,,12.5,,19.8,,17,,17,"a,b"
100, Botswana,..,,..,,..,,32.1,,32.1,,32.1,,32.1,,..,,..,,23.3,"a,b"
84, Brazil,25.7,,25.7,,25.3,,24.7,,23.6,,22.6,,22,,22,,23.8,,21.2,"a,b"
56, Bulgaria,8.1,,5.9,,6.1,,5.8,,5.5,,5.5,,6.7,,6.5,,6.3,,6.1,"a,b"
