"Country or Area","Year","Item","Value"
"Democratic People's Republic of Korea","2020","Gross National Income (GNI)","16002689148.5138"
"Democratic People's Republic of Korea","2019","Gross National Income (GNI)","16480237377.2622"
"Democratic People's Republic of Korea","2018","Gross National Income (GNI)","17516722009.8329"
"Democratic People's Republic of Korea","2017","Gross National Income (GNI)","17403444130.9428"
"Democratic People's Republic of Korea","2016","Gross National Income (GNI)","16834215372.1201"
"Democratic People's Republic of Korea","2015","Gross National Income (GNI)","16386170005.1569"
"Democratic People's Republic of Korea","2014","Gross National Income (GNI)","17462290487.3638"
"Democratic People's Republic of Korea","2013","Gross National Income (GNI)","16601843464.4415"
"Democratic People's Republic of Korea","2012","Gross National Income (GNI)","15961839394.4344"
"Democratic People's Republic of Korea","2011","Gross National Income (GNI)","15719337791.8623"
"Democratic People's Republic of Korea","2010","Gross National Income (GNI)","13959676365.1223"
"Democratic People's Republic of Korea","2009","Gross National Income (GNI)","12043547737.1799"
"Democratic People's Republic of Korea","2008","Gross National Income (GNI)","13327334233.6906"
"Democratic People's Republic of Korea","2007","Gross National Income (GNI)","14348787041.6897"
"Democratic People's Republic of Korea","2006","Gross National Income (GNI)","13741418189.6347"
"Democratic People's Republic of Korea","2005","Gross National Income (GNI)","13001262595.4972"
"Democratic People's Republic of Korea","2004","Gross National Income (GNI)","11145000000"
"Democratic People's Republic of Korea","2003","Gross National Income (GNI)","11028000000"
"Democratic People's Republic of Korea","2002","Gross National Income (GNI)","10887000000"
"Democratic People's Republic of Korea","2001","Gross National Income (GNI)","11006976744.186"
"Democratic People's Republic of Korea","2000","Gross National Income (GNI)","10592558139.5349"
"Democratic People's Republic of Korea","1999","Gross National Income (GNI)","10264651162.7907"
"Democratic People's Republic of Korea","1998","Gross National Income (GNI)","10259534883.7209"
"Democratic People's Republic of Korea","1997","Gross National Income (GNI)","10308837209.3023"
"Democratic People's Republic of Korea","1996","Gross National Income (GNI)","10527906976.7442"
"Democratic People's Republic of Korea","1995","Gross National Income (GNI)","5214553990.61033"
"Democratic People's Republic of Korea","1994","Gross National Income (GNI)","9333962264.15094"
"Democratic People's Republic of Korea","1993","Gross National Income (GNI)","11678199052.1327"
"Democratic People's Republic of Korea","1992","Gross National Income (GNI)","13841904761.9048"
"Democratic People's Republic of Korea","1991","Gross National Income (GNI)","15553953488.3721"
"Democratic People's Republic of Korea","1990","Gross National Income (GNI)","16705529953.9171"
"Democratic People's Republic of Korea","1989","Gross National Income (GNI)","17720454545.4545"
"Democratic People's Republic of Korea","1988","Gross National Income (GNI)","16128181818.1818"
"Democratic People's Republic of Korea","1987","Gross National Income (GNI)","16170275069.901"
"Democratic People's Republic of Korea","1986","Gross National Income (GNI)","15341830153.738"
"Democratic People's Republic of Korea","1985","Gross National Income (GNI)","13567444194.4478"
"Democratic People's Republic of Korea","1984","Gross National Income (GNI)","13765856805.212"
"Democratic People's Republic of Korea","1983","Gross National Income (GNI)","14444314022.2108"
"Democratic People's Republic of Korea","1982","Gross National Income (GNI)","14458999109.1333"
