"Country or Area","Year","Item","Value"
"Eritrea","2020","Gross National Income (GNI)","2060165055.72139"
"Eritrea","2019","Gross National Income (GNI)","1959258650.48093"
"Eritrea","2018","Gross National Income (GNI)","1982788579.30348"
"Eritrea","2017","Gross National Income (GNI)","1882256588.85572"
"Eritrea","2016","Gross National Income (GNI)","2148926967.557"
"Eritrea","2015","Gross National Income (GNI)","1990240995.18699"
"Eritrea","2014","Gross National Income (GNI)","2574539008.3252"
"Eritrea","2013","Gross National Income (GNI)","1935625411.44715"
"Eritrea","2012","Gross National Income (GNI)","2229150416.97561"
"Eritrea","2011","Gross National Income (GNI)","2041455160.97561"
"Eritrea","2010","Gross National Income (GNI)","1569887473.17073"
"Eritrea","2009","Gross National Income (GNI)","1285389262.04878"
"Eritrea","2008","Gross National Income (GNI)","914834747.252033"
"Eritrea","2007","Gross National Income (GNI)","1014386944.84553"
"Eritrea","2006","Gross National Income (GNI)","930583385.95122"
"Eritrea","2005","Gross National Income (GNI)","1089002488.10563"
"Eritrea","2004","Gross National Income (GNI)","1093759648.88486"
"Eritrea","2003","Gross National Income (GNI)","860583718.273661"
"Eritrea","2002","Gross National Income (GNI)","723218952.571048"
"Eritrea","2001","Gross National Income (GNI)","750014008.238318"
"Eritrea","2000","Gross National Income (GNI)","706846469.402597"
"Eritrea","1999","Gross National Income (GNI)","800726319.716738"
"Eritrea","1998","Gross National Income (GNI)","813985204.537329"
"Eritrea","1997","Gross National Income (GNI)","778448813.452728"
"Eritrea","1996","Gross National Income (GNI)","740145702.55462"
"Eritrea","1995","Gross National Income (GNI)","648079746.538425"
"Eritrea","1994","Gross National Income (GNI)","631004242.032557"
"Eritrea","1993","Gross National Income (GNI)","505071487.691668"
"Eritrea","1992","Gross National Income (GNI)","437072693.926344"
"Eritrea","1991","Gross National Income (GNI)","383945898.863648"
"Eritrea","1990","Gross National Income (GNI)","332354988.089826"
"South Sudan","2020","Gross National Income (GNI)","15302153581.1631"
"South Sudan","2019","Gross National Income (GNI)","16117707250.7513"
"South Sudan","2018","Gross National Income (GNI)","7764280494.04291"
"South Sudan","2017","Gross National Income (GNI)","3512566023.29132"
"South Sudan","2016","Gross National Income (GNI)","3058261917.79581"
"South Sudan","2015","Gross National Income (GNI)","5947552590.3434"
"South Sudan","2014","Gross National Income (GNI)","14943886441.3559"
"South Sudan","2013","Gross National Income (GNI)","16338974815.5932"
"South Sudan","2012","Gross National Income (GNI)","14167515791.8644"
"South Sudan","2011","Gross National Income (GNI)","23549857751.7188"
"South Sudan","2010","Gross National Income (GNI)","19610226623.7307"
"South Sudan","2009","Gross National Income (GNI)","14967053546.0418"
"South Sudan","2008","Gross National Income (GNI)","19045915116.302"

