Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","16/06/2022 08:49"
"Last updated:","16/06/2022 08:49"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Palestine refugees under UNRWA's mandate"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=0CEcE9
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.unrwa.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,VDA,OOC or RET,RDP"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2000,-,-,Jordan,JOR,1609566
2000,-,-,Lebanon,LBN,380072
2000,-,-,"Syrian Arab Rep.",SYR,387526
2000,-,-,"State of Palestine",PSE,1428891
2001,-,-,Jordan,JOR,1662227
2001,-,-,Lebanon,LBN,384918
2001,-,-,"Syrian Arab Rep.",SYR,396248
2001,-,-,"State of Palestine",PSE,1483394
2002,-,-,Jordan,JOR,1698271
2002,-,-,Lebanon,LBN,389233
2002,-,-,"Syrian Arab Rep.",SYR,405601
2002,-,-,"State of Palestine",PSE,1532589
2003,-,-,Jordan,JOR,1740170
2003,-,-,Lebanon,LBN,394532
2003,-,-,"Syrian Arab Rep.",SYR,413827
2003,-,-,"State of Palestine",PSE,1587920
2004,-,-,Jordan,JOR,1776669
2004,-,-,Lebanon,LBN,399152
2004,-,-,"Syrian Arab Rep.",SYR,421737
2004,-,-,"State of Palestine",PSE,1634952
2005,-,-,Jordan,JOR,1827877
2005,-,-,Lebanon,LBN,404170
2005,-,-,"Syrian Arab Rep.",SYR,432048
2005,-,-,"State of Palestine",PSE,1685851
2006,-,-,Jordan,JOR,1858362
2006,-,-,Lebanon,LBN,408438
2006,-,-,"Syrian Arab Rep.",SYR,442363
2006,-,-,"State of Palestine",PSE,1739266
2007,-,-,Jordan,JOR,1903490
2007,-,-,Lebanon,LBN,413962
2007,-,-,"Syrian Arab Rep.",SYR,451467
2007,-,-,"State of Palestine",PSE,1793901
2008,-,-,Jordan,JOR,1951603
2008,-,-,Lebanon,LBN,422188
2008,-,-,"Syrian Arab Rep.",SYR,461897
2008,-,-,"State of Palestine",PSE,1836123
2009,-,-,Jordan,JOR,1983733
2009,-,-,Lebanon,LBN,425640
2009,-,-,"Syrian Arab Rep.",SYR,472109
2009,-,-,"State of Palestine",PSE,1885188
2010,-,-,Jordan,JOR,1942431
2010,-,-,Lebanon,LBN,430078
2010,-,-,"Syrian Arab Rep.",SYR,476801
2010,-,-,"State of Palestine",PSE,1841769
2011,-,-,Jordan,JOR,1979580
2011,-,-,Lebanon,LBN,436154
2011,-,-,"Syrian Arab Rep.",SYR,486946
2011,-,-,"State of Palestine",PSE,1895043
2012,-,-,Jordan,JOR,2034641
2012,-,-,Lebanon,LBN,441543
2012,-,-,"Syrian Arab Rep.",SYR,499189
2012,-,-,"State of Palestine",PSE,1944544
2013,-,-,Jordan,JOR,2070973
2013,-,-,Lebanon,LBN,447328
2013,-,-,"Syrian Arab Rep.",SYR,517255
2013,-,-,"State of Palestine",PSE,1994493
2014,-,-,Jordan,JOR,2117361
2014,-,-,Lebanon,LBN,452669
2014,-,-,"Syrian Arab Rep.",SYR,528616
2014,-,-,"State of Palestine",PSE,2051096
2015,-,-,Jordan,JOR,2144233
2015,-,-,Lebanon,LBN,458369
2015,-,-,"Syrian Arab Rep.",SYR,534654
2015,-,-,"State of Palestine",PSE,2104001
2016,-,-,Jordan,JOR,2175491
2016,-,-,Lebanon,LBN,463664
2016,-,-,"Syrian Arab Rep.",SYR,543014
2016,-,-,"State of Palestine",PSE,2158274
2017,-,-,Jordan,JOR,2206736
2017,-,-,Lebanon,LBN,469555
2017,-,-,"Syrian Arab Rep.",SYR,551873
2017,-,-,"State of Palestine",PSE,2214783
2018,-,-,Jordan,JOR,2242579
2018,-,-,Lebanon,LBN,475075
2018,-,-,"Syrian Arab Rep.",SYR,560139
2018,-,-,"State of Palestine",PSE,2267747
2019,-,-,Jordan,JOR,2272411
2019,-,-,Lebanon,LBN,476033
2019,-,-,"Syrian Arab Rep.",SYR,562312
2019,-,-,"State of Palestine",PSE,2319073
2020,-,-,"State of Palestine",PSE,2348243
2020,-,-,Jordan,JOR,2307011
2020,-,-,Lebanon,LBN,479537
2020,-,-,"Syrian Arab Rep.",SYR,568730
2021,-,-,"State of Palestine",PSE,2400208
2021,-,-,Jordan,JOR,2334789
2021,-,-,Lebanon,LBN,482676
2021,-,-,"Syrian Arab Rep.",SYR,575234
