Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","16/06/2022 08:48"
"Last updated:","16/06/2022 08:48"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Palestine refugees under UNRWA's mandate"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=qb66Ik
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.unrwa.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,VDA,OOC or RET,RDP"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2000,Palestinian,PSE,-,-,3806055
2001,Palestinian,PSE,-,-,3926787
2002,Palestinian,PSE,-,-,4025694
2003,Palestinian,PSE,-,-,4136449
2004,Palestinian,PSE,-,-,4232510
2005,Palestinian,PSE,-,-,4349946
2006,Palestinian,PSE,-,-,4448429
2007,Palestinian,PSE,-,-,4562820
2008,Palestinian,PSE,-,-,4671811
2009,Palestinian,PSE,-,-,4766670
2010,Palestinian,PSE,-,-,4691079
2011,Palestinian,PSE,-,-,4797723
2012,Palestinian,PSE,-,-,4919917
2013,Palestinian,PSE,-,-,5030049
2014,Palestinian,PSE,-,-,5149742
2015,Palestinian,PSE,-,-,5241257
2016,Palestinian,PSE,-,-,5340443
2017,Palestinian,PSE,-,-,5442947
2018,Palestinian,PSE,-,-,5545540
2019,Palestinian,PSE,-,-,5629829
2020,Palestinian,PSE,-,-,5703521
2021,Palestinian,PSE,-,-,5792907
