"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AFG","Afghanistan",0.11,0.11,0.11,0.129975,0.14995,0.169925,0.1899,0.287925,0.38595,0.483975,0.582,0.5996,0.6699,0.6715,0.8204,0.2365,0.2518,0.2414,0.5341,0.4459,0.4149,0.4264,0.1755,0.1755,0.1755
"ALB","Albania",5.963,5.9903,5.9967,5.4827,5.3586,5.3991,5.142,4.8385,4.7905,4.7779,3.6076,5.3451,5.3962,5.40765,5.4191,5.253,5.3978,5.6875,5.5665,5.33296666666667,5.09943333333333,4.8659,4.8659,4.8659,4.8659
"DZA","Algeria",0.846,0.897333333333333,0.948666666666667,1,1.574975,2.14995,2.724925,3.2999,2.54133333333333,1.78276666666667,1.0242,2.07465,3.1251,3.13473333333333,3.14436666666667,3.154,3.30758333333333,3.46116666666667,3.61475,3.76833333333333,3.92191666666667,4.0755,4.0107,3.267,3.267
"AND","Andorra",4.6949,4.9291,5.1633,5.4446,5.7617,5.8868,5.7801,6.0286,6.2705,6.042,6.6033,6.2098,6.3966,6.6125,6.8284,8.765,8.48122,8.19744,7.91366,7.62988,7.3461,7.3461,7.3461,7.3461,7.3461
"AGO","Angola",0.9755,0.9755,0.9755,0.985785714285714,0.996071428571429,1.00635714285714,1.01664285714286,1.02692857142857,1.03721428571429,1.0475,1.12714,1.20678,1.28642,1.36606,1.4457,1.2918125,1.137925,0.9840375,0.83015,0.6762625,0.522375,0.3684875,0.2146,0.4075,0.4075
"ATG","Antigua and Barbuda",0.76,1.141,1.8539,2.5668,3.2797,3.496225,3.71275,3.929275,4.1458,4.362325,4.57885,4.795375,5.0119,0.5269,1.34174,2.15658,2.97142,3.78626,4.6011,4.6868,4.5085,4.4868,7.4529,4.5171,4.5171
"ARG","Argentina",2.68,3.06033333333333,3.44066666666667,3.821,3.77846666666667,3.73593333333333,3.6934,3.68596666666667,3.67853333333333,3.6711,3.21,3.21,3.21,3.21,3.21,3.21,4.86826666666667,6.52653333333333,8.1848,7.651,7.1172,6.5834,6.5897,6.5897,6.5897
"ARM","Armenia",0.686,0.6625,0.6533,0.673,0.6928,8.6096,8.0706,7.6928,7.3945,7.3213,7.5527,7.7014,7.8143,7.9413,7.9478,8.0815,8.1665,8.1856,8.104,8.048,7.8678,9.18855,10.5093,10.5093,10.5093
"AUS","Australia",2.4,12.891,2.4,2.4,2.4,2.5,12.2426,2.5,5.8474,9.1948,12.5422,13.6308,13.154,13.2683,13.8581,13.7446,14.1002,13.4291,15.2928,15.5421,15.6902,15.9725,16.2286,16.2286,16.2286
"AUT","Austria",8.5951,8.7714,8.9686,9.1798,9.3297,9.5434,9.7033,9.8767,9.966,10.3059,10.5144,10.8104,10.965,11.1795,11.3794,11.5227,11.6463,11.7147,11.8484,12.0166,12.1173,12.1417,12.2596,12.2596,12.2596
"AZE","Azerbaijan",13.9104,13.5831,13.0555,12.5451,12.4163,12.2355,12.0989,11.9142,11.8427,11.7484,11.8241,11.8225,11.9462,11.8452,11.7828,11.0142,10.397,10.2903,10.7188,9.8798,9.8798,9.8798,9.8798,9.8798,9.8798
"BHS","Bahamas",1.49,1.518,3.5721,5.6262,5.74382,5.86144,5.97906,6.09668,6.2143,6.33192,6.44954,6.56716,6.68478,6.8024,6.6558,6.5092,6.3626,6.1785,5.9944,5.8103,5.6262,5.4421,5.258,4.5669,4.5669
"BHR","Bahrain",1,1,1,2.0003,3.0006,4.0009,4.1685,3.9491,3.8731,0.9677,3.7303,3.7323,1.0155,3.552,3.4925,3.4088,3.4424,3.4372,3.4578,3.4496,3.4201,3.4201,3.4201,3.4201,3.4201
"BGD","Bangladesh",0.201,0.2005,0.2,0.21245,0.2249,0.23735,0.2498,0.3983,0.5468,0.2809,0.5923,0.6008,0.4918,0.5043,0.5258,0.5465,0.5771,0.6068,0.6318,0.7447,0.7608,0.7613,0.8596,0.9933,0.9933
"BRB","Barbados",6.4587,6.071525,5.68435,5.297175,4.91,7.1713,7.3395,7.133275,6.92705,6.720825,6.5146,6.54508,6.57556,6.60604,6.63652,6.667,6.50074285714286,6.33448571428571,6.16822857142857,6.00197142857143,5.83571428571429,5.66945714285714,5.5032,3.06,3.06
"BLR","Belarus",10.93,11.0696,11.2008,12.649,12.9402,12.9646,13.0577,13.194,13.103,13.2311,13.3561,13.4672,13.6318,13.5168,13.7859,13.8643,15.3649,15.7506,15.7068,15.9943,16.1932,16.1932,16.1932,16.1932,16.1932
"BEL","Belgium",3.5,3.6,3.7,3.7,2.7929,2.8204,2.8397,2.8497,8.6744,12.0332,12.2567,12.3988,12.5391,12.6573,12.7896,13.0016,13.312,13.5653,13.8667,14.1637,14.8218,15.046,22.0443,19.4614,19.4614
"BLZ","Belize",0.6,0.548,0.97105,1.3941,1.81715,2.2402,2.27762222222222,2.31504444444444,2.35246666666667,2.38988888888889,2.42731111111111,2.46473333333333,2.50215555555556,2.53957777777778,2.577,2.787,2.5178,2.2486,157.1565,177.8721,174.4361,182.6764,186.4369,2.3414,2.3414
"BEN","Benin",0.058,0.139011111111111,0.220022222222222,0.301033333333333,0.382044444444444,0.463055555555556,0.544066666666667,0.625077777777778,0.706088888888889,0.7871,0.810825,0.83455,0.858275,0.882,0.6949,0.5078,0.4824,0.8448,0.7669,0.7805,0.7941,0.8077,0.6378,0.4679,0.4679
