"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AFG","Afghanistan",,,0.11,,,,0.1899,,,,0.582,0.5996,0.6699,0.6715,0.8204,0.2365,0.2518,0.2414,0.5341,0.4459,0.4149,0.4264,0.1755,,
"ALB","Albania",5.963,5.9903,5.9967,5.4827,5.3586,5.3991,5.142,4.8385,4.7905,4.7779,3.6076,5.3451,5.3962,,5.4191,5.253,5.3978,5.6875,5.5665,,,4.8659,,,
"DZA","Algeria",0.846,,,1,,,,3.2999,,,1.0242,,3.1251,,,3.154,,,,,,4.0755,4.0107,3.267,
"AND","Andorra",4.6949,,5.1633,5.4446,5.7617,5.8868,5.7801,6.0286,6.2705,6.042,6.6033,6.2098,6.3966,,6.8284,8.765,,,,,7.3461,,,,
"AGO","Angola",,,0.9755,,,,,,,1.0475,,,,,1.4457,,,,,,,,0.2146,0.4075,
"ATG","Antigua and Barbuda",0.76,1.141,,,3.2797,,,,,,,,5.0119,0.5269,,,,,4.6011,4.6868,4.5085,4.4868,7.4529,4.5171,
"ARG","Argentina",2.68,,,3.821,,,3.6934,,,3.6711,3.21,,,,,3.21,,,8.1848,,,6.5834,6.5897,,
"ARM","Armenia",0.686,0.6625,0.6533,0.673,0.6928,8.6096,8.0706,7.6928,7.3945,7.3213,7.5527,7.7014,7.8143,7.9413,7.9478,8.0815,8.1665,8.1856,8.104,8.048,7.8678,,10.5093,,
"AUS","Australia",2.4,12.891,2.4,2.4,2.4,2.5,12.2426,2.5,,,12.5422,13.6308,13.154,13.2683,13.8581,13.7446,14.1002,13.4291,15.2928,15.5421,15.6902,15.9725,16.2286,,
"AUT","Austria",8.5951,8.7714,8.9686,9.1798,9.3297,9.5434,9.7033,9.8767,9.966,10.3059,10.5144,10.8104,10.965,11.1795,11.3794,11.5227,11.6463,11.7147,11.8484,12.0166,12.1173,12.1417,12.2596,,
"AZE","Azerbaijan",13.9104,13.5831,13.0555,12.5451,12.4163,12.2355,12.0989,11.9142,11.8427,11.7484,11.8241,11.8225,11.9462,11.8452,11.7828,11.0142,10.397,10.2903,10.7188,9.8798,,,,,
"BHS","Bahamas",1.49,1.518,,5.6262,,,,,,,,,,6.8024,,,6.3626,,,,,,5.258,4.5669,
"BHR","Bahrain",,,1,,,4.0009,4.1685,3.9491,3.8731,0.9677,3.7303,3.7323,1.0155,3.552,3.4925,3.4088,3.4424,3.4372,3.4578,3.4496,3.4201,,,,
"BGD","Bangladesh",0.201,,0.2,,,,0.2498,,0.5468,0.2809,0.5923,0.6008,0.4918,0.5043,0.5258,0.5465,0.5771,0.6068,0.6318,0.7447,0.7608,0.7613,0.8596,0.9933,
"BRB","Barbados",6.4587,,,,4.91,7.1713,7.3395,,,,6.5146,,,,,6.667,,,,,,,5.5032,3.06,
"BLR","Belarus",10.93,11.0696,11.2008,12.649,12.9402,12.9646,13.0577,13.194,13.103,13.2311,13.3561,13.4672,13.6318,13.5168,13.7859,13.8643,15.3649,15.7506,15.7068,15.9943,16.1932,,,,
"BEL","Belgium",3.5,3.6,3.7,3.7,2.7929,2.8204,2.8397,2.8497,8.6744,12.0332,12.2567,12.3988,12.5391,12.6573,12.7896,13.0016,13.312,13.5653,13.8667,14.1637,14.8218,15.046,22.0443,19.4614,
"BLZ","Belize",0.6,0.548,,,,2.2402,,,,,,,,,2.577,2.787,,2.2486,157.1565,177.8721,174.4361,182.6764,186.4369,2.3414,
"BEN","Benin",0.058,,,,,,,,,0.7871,,,,0.882,,0.5078,0.4824,0.8448,0.7669,,,0.8077,,0.4679,
"BTN","Bhutan",0.16,,,,0.051,,,,,0.9909,,,1.0363,1.2463,,0.264,,1.3255,1.4108,1.6701,1.8148,1.9384,2.0373,2.276,
"BOL","Bolivia, Plurinational State of",0.34,,1.299,,,,3.3123,,,,,,0.94,,,1.2711,1.4599,,,,1.1914,2.708,1.5589,,
"BIH","Bosnia and Herzegovina",,,,1.427,5.9151,5.9234,5.8467,5.9142,6.3117,6.3183,6.4019,6.5148,6.665,6.8612,7.0476,7.2854,7.4879,7.8411,7.936,8.2645,8.3414,5.4726,5.5647,5.7333,
"BWA","Botswana",,,,2.9757,3.4148,2.9319,2.6894,2.7466,2.869,3.0972,2.7425,3.0486,3.4518,3.3055,3.3319,3.3391,3.2922,3.253,,,,4.6419,,5.403,
"BRA","Brazil",2.8012,3.0999,3.3465,3.5503,3.9152,4.9046,4.3792,4.7951,5.1346,5.3156,5.4317,5.461,8.2418,8.2255,1.8171,9.1636,1.8491,,9.4455,8.788,9.1081,9.351,11.9022,12.2833,
"BRN","Brunei Darussalam",,0.848,,,,4.898,,7.2664,,6.6444,6.5626,6.3975,6.1547,6.6026,6.2803,8.9295,9.5148,9.797,9.1543,7.8063,8.4238,6.4721,7.7079,5.8974,
"BGR","Bulgaria",10.3536,10.5241,9.9871,10.033,6.2906,7.894,7.6251,7.5804,7.8462,7.8238,8.1779,8.2707,8.3846,8.3869,8.4568,8.4843,8.5737,8.7195,8.8643,8.8304,8.8488,,,,
"BFA","Burkina Faso",0.034,0.035,0.038,,,,0.04,,,0.5575,,0.452,,0.4027,0.4491,0.5997,0.495,0.6787,0.5031,0.5094,0.7355,0.7231,0.9676,,
"BDI","Burundi",0.055,,,,,0.052,,,,0.217,,,,,,0.7367,0.7066,0.7571,0.7507,0.757,0.716,0.73,0.9527,,
"KHM","Cambodia",,1.1724,,1.1551,0.296,1.0836,,,,,,,,1.0897,1.0922,1.0862,1.0996,1.0881,1.77,1.1549,0.5889,0.7195,0.7007,0.6855,
"CMR","Cameroon",,0.074,,,,,,,,1.6899,0.4373,,0.5096,,0.4533,0.6109,1.0045,,,,,,,,
"CAN","Canada",2.1,2.1,2.1,12.0457,2.1,,11.8986,11.3676,,11.8038,9.9467,11.9322,10.1208,12.248,10.3743,11.3617,9.2368,11.7435,11.9297,12.2436,12.3576,12.1908,12.5593,9.9438,
"CPV","Cape Verde",,0.171,,,,,,,,1.367,,,,,1.5348,1.6951,1.6737,1.6053,1.3895,0.9184,1.7305,1.1523,1.28,1.2983,
"CAF","Central African Republic",0.035,,,,,,,,,0.4909,,,,0.2359,0.3002,,,,,,0.2784,,,,
"TCD","Chad",,,0.0738,0.0762,0.0884,0.1527,0.025,,,0.2921,,0.216,,,,,,0.3195,0.3816,0.3084,0.3018,0.4108,0.2756,,
"CHL","Chile",1.08,,,1.153,,,,0.8921,0.9466,0.9842,0.9804,1.0404,1.0365,1.0389,1.0294,1.4333,1.5854,1.7471,1.8806,11.2583,13.1246,13.5384,14.5783,15.916,
"CHN","China",2.0688,2.0965,2.131,2.137,2.1782,2.2119,2.138,2.0617,0.9573,0.9836,2.2213,2.3069,2.4194,2.5496,2.7474,2.9413,3.085,3.3305,3.6218,3.8226,4.0646,4.3312,4.6419,,
"COL","Colombia",0.4794,1.721,1.7616,1.8175,1.8646,,0.5614,2.0233,0.5834,0.5946,2.1331,2.1935,2.2507,2.3199,2.3906,2.4591,2.6218,2.7281,2.8896,2.9621,3.1394,3.255,3.3778,3.5157,
"COM","Comoros",,,0.074,,,,,,,1.1772,0.7522,,,,0.8926,,,1.0913,0.3978,,,0.9,,,
"COG","Congo",0.251,,,0.7301,,,,,,1.2614,,1.6109,1.0044,,,0.5525,1.9543,,0.9888,0.73,0.7932,0.7462,,0.6271,
"COD","Congo, the Democratic Republic o",,0.069,,,,,,,,0.636,,,,,0.5031,,,,0.9499,,0.9479,0.074,0.8974,1.1101,
"CRI","Costa Rica",0.854,0.864,0.872,0.901,1.719,2.2352,,,,,1.4542,3.5583,3.6698,3.8195,3.981,4.1685,4.2952,4.4896,3.3077,5.0374,4.0371,4.3812,6.1331,6.3083,
"CIV","Cote d'Ivoire",,0.09,,,,,,,,0.6823,0.5822,,,0.6109,,0.627,0.615,,0.5719,0.857,0.4689,0.5093,0.5558,0.6048,
"HRV","Croatia",6.8935,7.0703,7.3418,7.3485,7.3719,7.3611,7.4266,7.479,7.5627,7.731,7.7828,7.9173,8.1723,8.3939,8.2957,8.6189,8.8045,8.9947,9.194,9.2675,9.3648,11.122,,,
"CUB","Cuba",5.22,5.4966,5.6984,5.7509,5.8516,5.9316,5.9406,13.4789,6.0572,6.1965,6.2686,6.3483,15.1288,6.6345,6.6698,15.9917,6.9969,15.4744,15.2501,15.5947,7.769,15.8122,16.0236,15.9832,
"CYP","Cyprus",5.1766,5.1465,5.1459,5.126,5.3047,5.0154,5.0005,4.9427,4.9507,5.1257,4.9091,5.1631,5.3897,5.3504,5.5715,5.7028,5.9362,5.9136,6.2724,6.4123,6.6581,7.2021,,,
"CZE","Czech Republic",10.8613,10.7946,10.8863,10.792,10.8832,11.4023,11.7149,11.9183,11.9264,12.0113,11.987,11.9909,11.953,11.8933,11.9769,11.9855,11.9652,12.0766,12.0154,12.2228,12.3226,12.4203,12.4631,4.1208,
"DNK","Denmark",11.6326,11.7464,12.0712,12.2573,12.2404,12.4525,12.5113,12.7314,12.6172,12.9167,13.1612,13.2096,12.9933,13.3935,13.7232,13.8189,13.9245,14.0539,14.0658,14.0848,14.1671,14.3294,,,
"DJI","Djibouti",0.191,0.14,,,0.8372,,,0.7364,,0.5508,0.7534,0.2328,,,,1.029,,,,0.9525,,,,,
"DMA","Dominica",0.47,0.493,5.0283,,,,8.0632,,,,,,,,,,,,6.6056,6.7651,6.6994,6.69,7.2168,6.4385,
"DOM","Dominican Republic",1.5,,2.156,,,3.662,,,,,,,,1.098,1.3247,,2.8897,,1.4353,1.4497,1.4547,1.2069,2.7297,1.3802,
"ECU","Ecuador",2.8494,3.0143,3.0344,2.946,3.0254,3.0693,3.1271,3.194,3.0211,,,,,,3.4775,3.7705,3.7335,,1.9461,2.1932,4.5772,4.8908,2.8265,2.5059,
"EGY","Egypt",,2.02,1.6,,,2.118,,,0.5285,1.9787,2.401,2.3362,2.604,,2.804,6.35,,,1.9744,3.0929,2.7629,2.7466,2.7264,2.3783,
"SLV","El Salvador",0.91,,1.071,,1.919,1.211,,2.1904,,,2.0567,1.5,1.3676,2.3617,,2.001,,,1.7749,1.7591,1.7582,3.3701,1.8375,1.8344,
"GNQ","Equatorial Guinea",0.208,0.246,,,,,,,,0.5914,,,,,,,,,,,,,0.9041,,
"ERI","Eritrea",,0.03,,,,,,,,1,,,,,,,,,1.2988,1.2478,1.1852,1.5021,1.3267,1.4397,
"EST","Estonia",10.1417,9.8568,9.7446,9.5172,9.4693,17.6178,9.16,9.3903,9.536,9.7169,9.7189,9.7754,9.9346,10.035,9.7171,9.6411,9.8185,9.74,9.2897,9.4287,9.7674,9.8876,9.9901,15.6391,
"ETH","Ethiopia",,0.025,0.023,0.021,0.02,0.021,0.028,0.029,0.2422,0.2363,0.2785,0.2543,0.2473,0.2273,0.2773,0.258,,,,,,0.0464,0.9272,0.7904,
"FJI","Fiji",,,0.476,0.357,2.2907,,,,2.4997,,,,,2.5088,2.7284,2.668,,,3.7188,,3.8775,,,3.3752,
"FIN","Finland",2.2,2.3,2.4,2.4,17.7797,13.8221,17.5578,17.9306,17.27,15.3982,15.8908,16.5419,16.7845,16.5755,17.0179,17.5223,17.6113,17.9046,17.8997,18.0679,3.3309,18.5492,,,
"FRA","France",3.2852,9.3947,3.3215,3.3337,9.7585,10.4686,10.6998,10.8991,11.106,11.3264,11.5591,11.7555,11.6042,11.8897,12.1381,12.386,12.4482,12.8625,13.1765,13.4907,13.8191,14.1274,14.4185,14.7379,
"GAB","Gabon",0.2959,,,,,,,,,5.2984,,,,0.0968,,,,,,,,2.9005,3.6279,,
"GMB","Gambia",,,0.035,,,,,,1.4049,0.5753,0.5817,0.5832,0.8672,0.9389,,0.606,,1.2525,,,1.6468,,,,
"GEO","Georgia",4.792,7.7155,8.5122,8.7293,8.8718,8.5384,8.023,8.0707,8.0596,7.9658,7.9578,7.8626,7.8094,7.9375,8.1178,8.3965,8.4367,8.2089,8.2982,8.5957,9.0229,9.9975,10.9861,11.8494,
"DEU","Germany",3.0745,3.123,3.1407,3.1871,3.224,13.5732,13.7152,13.8708,14.1107,14.2376,14.4237,14.5952,14.8233,15.1078,15.4809,15.671,15.9076,16.072,16.5373,16.8408,17.0457,17.3341,17.484,,
"GHA","Ghana",,0.062,,,,,,0.09,,1.0787,,,0.0725,1.0477,1.2761,1.1546,0.0979,0.0956,1.7598,1.5009,2.0017,2.243,2.4878,4.2001,
"GRC","Greece",3.8342,3.8322,3.9455,4.0795,6.9619,7.1484,7.3987,7.9369,8.1067,8.2422,6.8739,6.9069,7.1086,7.2702,7.5146,7.7079,7.8432,7.8036,7.8263,8.7528,8.7537,8.957,9.112,,
"GRD","Grenada",0.65,,0.4035,,4.4239,4.1245,4.1085,4.0926,4.0769,,,4.4519,,,,,,,,,,,4.4635,6.2837,
"GTM","Guatemala",1.1,,0.933,,0.8751,,,,,,,,,,1.7737,,,,,0.0525,0.0536,0.0602,0.0686,0.4286,
"GIN","Guinea",0.13,,,,,0.5544,,,,0.6045,0.1032,,,,,0.1,,,,,0.5023,0.207,,,
"GNB","Guinea-Bissau",,0.166,,,,,,,,0.9592,,,,0.7125,0.7858,0.596,0.6264,,0.5339,0.5229,0.7587,0.721,,0.6851,
"GUY","Guyana",0.33,,0.181,,,2.8178,,,,,,,,,1.538,1.6933,,,0.7164,0.6275,0.6972,0.7324,0.7869,1.8421,
"HTI","Haiti",0.16,,,0.3404,,,,,,,,,,,,,1.3241,,,,0.3674,,,0.9141,
"HND","Honduras",0.65,,0.832,,,1.8562,,,,,1.4045,,,,,1.1548,,,1.6908,0.6848,0.6704,1.3398,1.0467,0.7357,
"HUN","Hungary",8.9164,9.0269,8.9861,9.1985,9.1353,8.4809,8.9627,9.5494,9.7354,9.3026,8.9281,9.4437,8.9401,9.4535,9.464,9.3201,9.4143,9.6406,9.8646,9.9691,9.803,9.874,10.1484,10.3232,
"ISL","Iceland",16.0979,16.1396,17.0734,14.7621,17.5274,17.4822,17.5115,17.7112,18.0937,18.1346,18.4746,18.3584,18.7811,19.7233,19.8767,18.7855,18.9305,19.2291,19.6669,19.7262,20.097,19.0457,19.686,20.291,
"IND","India",,,,0.513,,1.6912,1.7185,0.5552,1.8068,1.8309,1.8665,1.3651,1.3848,1.4228,1.4788,1.5314,1.7285,1.809,1.9379,2.0986,1.4509,2.2543,2.8858,2.5842,
"IDN","Indonesia",,,,,,0.162,,,0.9507,,,0.13,2.329,,1.1442,1.2409,,1.7427,2.2822,,1.5728,,2.4299,2.8418,
"IRN","Iran, Islamic Republic of",,0.85,,1.049,,,,,,2.2778,2.292,2.2251,,,,2.3,1.9971,,,3.0685,3.0433,,3.7578,1.5844,
"IRQ","Iraq",,,,0.55,,,0.543,,,0.658,1.98,,1.577,,,0.6636,,,2.085,2.914,1.6498,2.5688,2.6501,2.7527,
"IRL","Ireland",2.1054,2.1058,2.1366,2.197,2.2696,16.2591,17.2358,17.7912,17.3993,15.1157,15.8097,16.3334,16.8247,16.8544,16.6539,16.9776,16.6583,16.5286,16.238,18.875,19.5224,18.8058,19.3942,3.3125,
"ISR","Israel",12.5669,9.9082,9.8797,9.976,10.1157,9.8458,9.9553,9.9006,9.7702,9.5901,9.5914,9.4897,9.2692,8.9349,8.7568,8.6947,8.8004,8.8204,8.8651,8.8701,8.9084,9.0437,9.1785,4.6249,
"ITA","Italy",5.673,5.7347,5.8366,5.9177,5.9882,3.4586,3.5129,3.5584,8.8328,8.7756,8.6503,8.8033,9.0127,9.0303,9.0436,9.332,9.3675,9.2339,9.2401,9.4724,9.5631,9.7863,10.041,9.7175,
"JAM","Jamaica",0.57,1.401,1.401,,,,,,2.4459,,,,,1.4497,,,,1.8659,1.9026,1.8069,1.8654,2.0615,2.7735,0.8068,
"JPN","Japan",,9.6721,,10.1719,,10.6604,,11.1237,,11.5512,,11.3567,,11.8788,,12.4797,11.6382,12.9631,,13.8542,,14.3617,,12.1531,
"JOR","Jordan",,,1.66,3.7984,4.842,4.9083,5.0868,5.0251,5.2561,5.3034,5.2618,5.5981,5.4602,5.1799,5.6279,5.7664,,,5.6293,5.9487,5.39,3.2854,5.6835,2.8212,
"KAZ","Kazakhstan",13.2333,12.3262,10.8366,10.4997,9.9952,9.454,9.8941,10.2293,10.2917,10.3706,10.4848,10.9709,11.0387,10.8171,11.4136,11.6493,11.8687,11.9752,11.9761,11.1802,7.2936,,,,
"KEN","Kenya",0.132,,,,,,,0.1335,,0.4531,,,,0.5201,0.5585,0.8757,1.5673,1.5755,1.0774,1.1233,0.865,1.0362,1.0587,1.3221,
"KIR","Kiribati",,,,2.3407,,,,,,2.8729,,,,3.9068,3.85,4.3245,4.0784,,4.8471,,,4.8287,,3.8342,
"PRK","Korea, Democratic People's Repub",2.97,,,,,,,,7.1365,,,,,7.4331,,,6.868,3.4463,,8.2312,,3.7011,8.1323,,
"KOR","Korea, Republic of",1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,3.32,6.0342,5.5835,5.7751,6.0018,6.1799,6.3962,6.6224,6.782,6.9419,7.389,7.8167,8.2337,9.3257,9.4811,7.3009,
"KWT","Kuwait",1.783,,1.89,,,,4.3727,,1.9,1.5,5.5,5.6073,6.2073,6.5568,6.6976,8.9589,8.9571,8.8868,8.7387,9.3132,9.7977,7.0899,7.3489,7.4145,
"KGZ","Kyrgyzstan",12.6298,12.425,11.7723,11.4966,11.2835,10.7578,10.1187,9.5959,9.3991,9.1589,8.8547,8.464,8.2401,8.0578,8.0211,7.9853,8.1252,8.1962,8.6324,8.1575,,,,,
"LAO","Lao People's Democratic Republic",1.5983,0.586,,,,1.3093,,,,1.3422,1.2758,,,,1.0626,1.6381,,1.046,1.4668,1.7338,1.05,1.0304,1.6369,0.9522,
"LVA","Latvia",8.5525,8.661,8.4351,8.0383,8.221,8.1612,7.9561,8.1174,8.2991,8.598,8.119,8.8351,8.9027,9.0286,8.2441,8.2303,8.152,8.0613,8.1413,8.1249,8.0017,7.9948,7.9422,,
"LBN","Lebanon",,,2.1,,,,3.9243,,,,1.0045,2.4707,3.8003,,1.7218,4.1133,5.1449,,3.78,3.7421,3.6446,3.5835,3.6673,3.7773,
"LSO","Lesotho",0.054,,,,,,,,0.6005,,,,,,,0.7347,,,,,,,,3.2567,
"LBR","Liberia",,,0.023,,,,,,,0.3629,,,,0.2852,0.9281,0.4869,,,,,0.1383,,,0.5321,
