"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AFG","Afghanistan",0.990748114886046,0.990748114886046,0.990748114886046,0.989055748538507,0.987363382190968,0.98567101584343,0.983978649495891,0.975673557570109,0.967368465644328,0.959063373718546,0.950758281792764,0.949267135474032,0.943311022621367,0.943175463865119,0.930560027111751,0.980030500720156,0.978734220113531,0.979615352029145,0.954816572057951,0.962289248496145,0.964915699398458,0.963941370837923,0.985198678302127,0.985198678302127,0.985198678302127
"ALB","Albania",0.494857239684826,0.492544268406337,0.492002033381344,0.535550283826146,0.546064559857663,0.542633228840125,0.564415826484792,0.590129628060663,0.594196390748115,0.595263915953571,0.694416673727019,0.547208336863509,0.542878929085826,0.541908836736423,0.54093874438702,0.555011437770058,0.542743370329577,0.518198763026349,0.528450393967635,0.548236324098393,0.568022254229151,0.587808184359909,0.587808184359909,0.587808184359909,0.587808184359909
"DZA","Algeria",0.928391087011777,0.924041910248807,0.919692733485837,0.915343556722867,0.866629246801661,0.817914936880454,0.769200626959248,0.720486317038041,0.784755288203564,0.849024259369087,0.91329323053461,0.824294670846395,0.73529611115818,0.734479934479935,0.733663757801689,0.732847581123443,0.719835352593974,0.706823124064503,0.693810895535034,0.680798667005564,0.667786438476093,0.654774209946624,0.660264339574684,0.723273743963399,0.723273743963399
"AND","Andorra",0.602296026433958,0.582453613488096,0.562611200542235,0.538778276709311,0.511912225705329,0.501313225451157,0.510353300008472,0.489299330678641,0.468804541218334,0.488164026095061,0.440608319918665,0.473947301533508,0.458120816741506,0.439828857070236,0.421536897398966,0.257459967804795,0.281503007709904,0.305546047615013,0.329589087520122,0.353632127425231,0.37767516733034,0.37767516733034,0.37767516733034,0.37767516733034,0.37767516733034
"AGO","Angola",0.917419300177921,0.917419300177921,0.917419300177921,0.91654785103061,0.915676401883298,0.914804952735987,0.913933503588676,0.913062054441365,0.912190605294053,0.911319156146742,0.904571719054478,0.897824281962213,0.891076844869948,0.884329407777684,0.877581970685419,0.89061996949928,0.903657968313141,0.916695967127002,0.929733965940863,0.942771964754723,0.955809963568584,0.968847962382445,0.981885961196306,0.965542658646107,0.965542658646107
"ATG","Antigua and Barbuda",0.935677370160129,0.903397441328476,0.842997542997543,0.78259764466661,0.722197746335677,0.703852834025248,0.685507921714818,0.667163009404389,0.648818097093959,0.63047318478353,0.6121282724731,0.593783360162671,0.575438447852241,0.955426586461069,0.88638990087266,0.81735321528425,0.74831652969584,0.67927984410743,0.610243158519021,0.602982292637465,0.618088621536897,0.619927137168517,0.368626620350758,0.617359993222062,0.617359993222062
"ARG","Argentina",0.773006862662035,0.740783416645486,0.708559970628936,0.676336524612387,0.67994012821599,0.683543731819594,0.687147335423198,0.687777118811601,0.688406902200006,0.68903668558841,0.728103024654749,0.728103024654749,0.728103024654749,0.728103024654749,0.728103024654749,0.728103024654749,0.587607670366291,0.447112316077834,0.306616961789376,0.351842751842752,0.397068541896128,0.442294331949504,0.441760569346776,0.441760569346776,0.441760569346776
"ARM","Armenia",0.941946962636618,0.943937981869016,0.944717444717445,0.943048377531136,0.941370837922562,0.270626112005422,0.316292468016606,0.348301279335762,0.373574514953825,0.37977632805219,0.360171142929764,0.347572651020927,0.338007286283148,0.327247310005931,0.326696602558672,0.315368973989664,0.308167415063967,0.306549182411251,0.31346267897992,0.318207235448615,0.333474540371092,0.221575023299161,0.10967550622723,0.10967550622723,0.10967550622723
"AUS","Australia",0.796729645005507,0,0.796729645005507,0.796729645005507,0.796729645005507,0.788257222739981,0,0.788257222739981,0.504651359823774,0.221045496907566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0.271854613233924,0.256917732779802,0.240210116072185,0.222316360247395,0.209616199271372,0.191510632889943,0.177963229687368,0.163272049478946,0.155706176395832,0.12690841311531,0.109243412691689,0.0841650427857325,0.0710666779632298,0.052893332203677,0.0359569600948912,0.0238159789883928,0.0133440650682031,0.00754892823858343,0,0,0,0,0,0,0
