"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AFG","Afghanistan",0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.770579929429082,0.714928305457791,0.657962711956569,0.576433817339158,0.543703633838963,0.57343155787385,0.568207437179768,0.309232724926736,0.310901323834377,0.105079081285784,0.285214649204271,0.0230173225673622,0.0230173225673622,0.0128776572722691,0.0128776572722691
"ALB","Albania",0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0.00100075315510265,0,0,0,0,0,0,0
"DZA","Algeria",0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0125367482423062,0.0112322081110734,0.00950926227229515,0.0123626993681571,0.00461765671291048,0.00159299574493888,0.000686857252754227,9.95622340581108e-05,0,0,0
"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO","Angola",0.800602524082164,0.800602524082164,0.800602524082164,0.800602524082164,0.800602524082164,0.800602524082164,0.800602524082164,0.750003874367867,0.739170392389318,0.728569305004264,0.718218573881079,0.708029058752691,0.62547072193919,0.687669956213008,0.677268508668064,0.666564537762768,0.654492563437169,0.643819530121782,0.631751617691007,0.680512145469839,0.580436829959569,0.593766678436755,0.580808165025016,0.567834763089013,0.567834763089013
"ATG","Antigua and Barbuda",0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0.0780587460980109,0,0,0,0.0163085840741567,0.0151248318679866,0.0545208914473588,0,0,0,0,0,0,0,0
"ARG","Argentina",0.0449231739800942,0.0449231739800942,0.0449231739800942,0.0449231739800942,0.0449231739800942,0.0449231739800942,0.0449231739800942,0.03895021191076,0.03617827409826,0.0336388263185115,0.0313496584492272,0.0292217447504418,0.0271391074357036,0.0249858450699653,0.0226459798667733,0.011808887230212,0.00721849102347402,0.00502522052073643,0.00523839364764692,0,0.00173012287098874,0.000409090835955406,0,0,0
"ARM","Armenia",0.0110082847061297,0.0110082847061297,0.0110082847061297,0.0110082847061297,0.0110082847061297,0.0110082847061297,0,0.0200150631020541,0.00761551833720495,0.00709174768870579,0.00200150631020544,0.00670609673454081,0.0066392129024593,0.00650162766797037,0.00617751594743383,0.00200150631020544,0.00169637554932175,0.00103051493335137,0.00105792508827996,0.000427491524919416,0,0,0,0,0
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE","Azerbaijan",0.0300225946530811,0.0300225946530811,0.0300225946530811,0.0300225946530811,0.0300225946530811,0.0109259982815714,0.0136333071422683,0,0.0097322083792358,0.00810798490904371,0.00673404134931566,0.00500376577551352,0.00435393895490478,0.0031158245473166,0.00169118365368094,0.000617530175664003,0.00100075315510265,0,0,0,0,0,0,0,0
"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD","Bangladesh",0.803715237309665,0.777914608205377,0.776584448359699,0.726225927636373,0.700376624510449,0.680512145469839,0.648883231751387,0.623328606878798,0.597961653763355,0.594447374131006,0.558120034600778,0.495121598125224,0.535402937979947,0.47379399551753,0.448859076835691,0.44773696159295,0.404304274661493,0.371809780317982,0.385289964714541,0.376283186318617,0.268922709736728,0.240981359748731,0.120090378612325,0.148507532241209,0.148507532241209
"BRB","Barbados",0,0,0,0,0,0,0,0,0,1.37432531673247e-05,0.000131858879002846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR","Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ","Belize",0.26369889920772,0.252506699233645,0.241284645859634,0.230035029627881,0.218794193807875,0.210158162571568,0.196517831099903,0.185571635357528,0.174813187723704,0.164287153771226,0.154011476080617,0.0901825617651267,0.13382782907304,0.123688056885979,0.113361605510057,0.100903695191318,0.0832452895745463,0.0801377490858002,0.0681449282633061,0.0557958517781441,0.0820617587184218,0.0303851111310804,0.017501651151918,0.00460330264849069,0.00460330264849069
"BEN","Benin",0.855643947612812,0.855643947612812,0.820016568000206,0.808853286121338,0.797698784654216,0.786597786435189,0.781588214135212,0.764735191086821,0.75406305871803,0.743623340030585,0.733433996692862,0.72154302482905,0.713422980215352,0.703369466029768,0.693129368094582,0.658495576057579,0.631475240869807,0.616463943543266,0.644198538503582,0.659496329212682,0.623465199545004,0.610757118746541,0.655493316592271,0.585147978969722,0.585147978969722
"BTN","Bhutan",0.689018547288212,0.689018547288212,0.689018547288212,0.689018547288212,0.689018547288212,0.689018547288212,0.598463167976863,0.55896429485909,0.589443608355493,0.480574382170583,0.402221590816682,0.403078811681959,0.282212389738963,0.325764346729521,0.2868852179782,0.267372112371062,0.182128645033415,0.0850640181837299,0.126706915147057,0.0865559246664801,0.0453868645318101,0.0040397529172118,0.0230173225673622,0,0
"BOL","Bolivia, Plurinational State of",0.360867822078667,0.290218414979784,0.326941742525955,0.288216908669579,0.29092006303189,0.30059577485928,0.307646140882167,0.360302609523702,0.277208623963449,0.238919813746521,0.317356748972076,0.238066355951017,0.198583781828191,0.153365511087273,0.132443705581507,0.119758173642701,0.116728418440478,0.0961986479756913,0.105022178461385,0.0996877338208307,0.0848356262986723,0.0820617587184218,0.0820617587184218,0.0441795960924414,0.0441795960924414
"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0.00600451893061617,0.0150112973265406,0,0,0,0.00613184488619405,0.00300225946530808,0,0,0,0.0029444104598041,0,0.00500376577551352,0,0.00300225946530808,0,0,0,0
"BWA","Botswana",0.831926700249476,0.811122220867903,0.790287792647137,0.769425858832184,0.748572705428977,0.727773055273865,0.752566372637234,0.686513156053327,0.666142390836303,0.646004020212773,0.626116005851113,0.606389207484249,0.586707685501433,0.569428545253439,0.547016788596345,0.47351267876033,0.467952175326025,0.466545231161385,0.463350764665387,0.44138931333347,0.419160708430257,0.396753937520006,0.374258140869791,0.351747493871016,0.351747493871016
