Country,ISO_Code,Level,GDLCODE,Region,"2018"
"Ethiopia","ETH","Subnat","ETHr110","Addis",0.697
"Ethiopia","ETH","Subnat","ETHr102","Affar",0.417
"Ethiopia","ETH","Subnat","ETHr103","Amhara",0.450
"Ethiopia","ETH","Subnat","ETHr106","Ben-Gumz",0.462
"Ethiopia","ETH","Subnat","ETHr111","Dire Dawa",0.553
"Ethiopia","ETH","Subnat","ETHr108","Gambela",0.549
"Ethiopia","ETH","Subnat","ETHr109","Harari",0.569
"Ethiopia","ETH","Subnat","ETHr104","Oromiya",0.454
"Ethiopia","ETH","Subnat","ETHr107","SNNP",0.473
"Ethiopia","ETH","Subnat","ETHr105","Somali",0.419
"Ethiopia","ETH","Subnat","ETHr101","Tigray",0.491
