"",Overall score,Rank,I Electoral II Functioning of,,III Political,IV Political,V Civil liberties
"",,,process and,government,participation,culture,
"",,,pluralism,,,,
"",,,Full democracy,,,,
Norway,9.75,1,10.00,9.64,10.00,10.00,9.12
New Zealand,9.37,2,10.00,8.93,9.44,8.75,9.71
Finland,9.27,3,10.00,9.29,8.89,8.75,9.41
Sweden,9.26,4,9.58,9.29,8.33,10.00,9.12
Iceland,9.18,5,10.00,8.21,8.89,9.38,9.41
Denmark,9.09,6,10.00,8.93,8.33,9.38,8.82
Ireland,9.00,7,10.00,7.86,8.33,9.38,9.41
Taiwan,8.99,8,10.00,9.64,7.78,8.13,9.41
Australia,8.90,9=,10.00,8.57,7.78,8.75,9.41
Switzerland,8.90,9=,9.58,8.93,7.78,9.38,8.82
Netherlands,8.88,11,9.58,8.93,8.33,8.75,8.82
Canada,8.87,12,10.00,8.21,8.89,8.13,9.12
Uruguay,8.85,13,10.00,8.57,7.22,8.75,9.71
Luxembourg,8.68,14,10.00,8.57,6.67,8.75,9.41
Germany,8.67,15,9.58,8.21,8.33,8.13,9.12
South Korea,8.16,16,9.58,8.57,7.22,7.50,7.94
Japan,8.15,17,9.17,8.57,6.67,8.13,8.24
United Kingdom,8.10,18,9.58,7.50,8.33,6.25,8.82
Mauritius,8.08,19,9.17,7.86,6.11,8.75,8.53
Austria,8.07,20=,9.58,6.79,8.89,6.88,8.24
Costa Rica,8.07,20=,9.58,6.43,7.78,6.88,9.71
"",,,Flawed democracy,,,,
France,7.99,22,9.58,7.50,7.78,6.88,8.24
Israel,7.97,23,9.58,7.50,10.00,6.88,5.88
Spain,7.94,24,9.58,7.14,7.22,7.50,8.24
Chile,7.92,25,9.58,7.86,5.56,7.50,9.12
United States of America,7.85,26,9.17,6.43,8.89,6.25,8.53
Estonia,7.84,27,9.58,7.86,6.67,6.88,8.24
Portugal,7.82,28,9.58,7.14,6.67,6.88,8.82
"",,Overall score,Rank,"I Electoralprocess andpluralism","II Functioning ofgovernment","III Politicalparticipation","IV Politicalculture",V Civil liberties,
Czech Republic,7.74,29,9.58,6.43,6.67,7.50,8.53,,
Botswana,7.73,30,9.17,6.79,6.67,7.50,8.53,,
Italy,7.68,31,9.58,6.43,7.22,7.50,7.65,,
Cabo Verde,7.65,32,9.17,7.00,6.67,6.88,8.53,,
Malta,7.57,33,9.17,6.79,5.56,8.13,8.24,,
Greece,7.56,34,9.58,6.07,6.11,7.50,8.53,,
Slovenia,7.54,35,9.58,6.43,7.22,6.25,8.24,,
Belgium,7.51,36,9.58,7.86,5.00,6.88,8.24,,
Cyprus,7.43,37,9.17,5.36,7.22,6.88,8.53,,
Latvia,7.31,38,9.58,6.07,6.11,6.25,8.53,,
Malaysia,7.24,39,9.58,7.86,7.22,6.25,5.29,,
Lithuania,7.18,40,9.58,6.07,6.11,5.63,8.53,,
Trinidad and Tobago,7.16,41,9.58,7.14,6.11,5.63,7.35,,
Jamaica,7.13,42,8.75,7.14,5.00,6.25,8.53,,
Timor-Leste,7.06,43,9.58,5.93,5.56,6.88,7.35,,
South Africa,7.05,44,7.42,7.14,8.33,5.00,7.35,,
Slovakia,7.03,45,9.58,6.43,5.56,5.63,7.94,,
India,6.91,46,8.67,7.50,7.22,5.00,6.18,,
Brazil,6.86,47,9.58,5.36,6.11,5.63,7.65,,
Panama,6.85,48,9.58,6.07,7.22,3.75,7.65,,
Suriname,6.82,49,9.58,6.07,6.11,5.00,7.35,,
Argentina,6.81,50,9.17,5.00,7.22,5.00,7.65,,
Poland,6.80,51,9.17,6.07,6.67,5.63,6.47,,
Indonesia,6.71,52,7.92,7.86,7.22,4.38,6.18,,
Bulgaria,6.64,53,9.17,5.36,7.22,4.38,7.06,,
Philippines,6.62,54,9.17,5.00,7.78,4.38,6.76,,
Namibia,6.52,55,7.00,5.36,6.67,5.63,7.94,,
Croatia,6.50,56=,9.17,6.07,6.11,4.38,6.76,,
Ghana,6.50,56=,8.33,5.36,6.67,6.25,5.88,,
Hungary,6.50,56=,8.33,6.43,5.00,6.25,6.47,,
Colombia,6.48,59,9.17,5.71,6.11,3.75,7.65,,
Dominican Republic,6.45,60,9.17,5.00,6.67,4.38,7.06,,
Romania,6.43,61,9.17,6.07,6.11,3.75,7.06,,
Mongolia,6.42,62,8.75,5.71,6.11,5.63,5.88,,
Serbia,6.36,63,8.25,6.07,6.67,3.75,7.06,,
Lesotho,6.30,64,9.17,4.14,6.11,5.63,6.47,,
Guyana,6.25,65,6.92,6.07,5.56,5.63,7.06,,
"",,Overall score,Rank,"I Electoralprocess andpluralism","II Functioning ofgovernment","III Politicalparticipation","IV Politicalculture",V Civil liberties
Singapore,6.23,66,4.83,8.21,4.44,7.50,6.18,
Sri Lanka,6.14,67,7.00,5.71,5.56,6.25,6.18,
Albania,6.11,68,7.00,6.43,4.44,5.63,7.06,
Moldova,6.10,69=,7.00,5.71,6.67,4.38,6.76,
Papua New Guinea,6.10,69=,6.92,6.07,3.89,6.25,7.35,
Peru,6.09,71,8.75,5.36,5.56,3.75,7.06,
Thailand,6.04,72,7.00,5.00,6.67,6.25,5.29,
North Macedonia,6.03,73,7.42,6.43,6.11,3.13,7.06,
Montenegro,6.02,74,7.42,6.43,6.67,3.13,6.47,
"",Hybrid regime,,,,,,,
Bangladesh,5.99,75=,7.42,6.07,5.56,5.63,5.29,
Tunisia,5.99,75=,7.50,4.64,7.22,5.00,5.59,
Paraguay,5.86,77,8.75,5.36,5.00,3.13,7.06,
Malawi,5.74,78,7.00,4.29,5.00,6.25,6.18,
El Salvador,5.72,79=,9.17,3.93,5.56,3.75,6.18,
Zambia,5.72,79=,7.50,3.64,5.00,6.88,5.59,
Bhutan,5.71,81=,8.75,6.79,3.33,5.00,4.71,
Ecuador,5.71,81=,8.75,5.00,6.11,2.50,6.18,
Madagascar,5.70,83,7.92,3.57,6.67,5.63,4.71,
Fiji,5.61,84,6.58,5.00,5.56,5.63,5.29,
Hong Kong,5.60,85,2.75,3.64,5.56,7.50,8.53,
Mexico,5.57,86=,6.92,5.00,7.22,3.13,5.59,
Ukraine,5.57,86=,8.25,2.36,6.67,5.00,5.59,
Senegal,5.53,88,5.67,5.71,4.44,6.25,5.59,
Armenia,5.49,89,7.50,5.71,6.11,3.13,5.00,
Liberia,5.43,90,7.42,2.71,6.11,5.63,5.29,
Georgia,5.12,91,7.42,3.57,5.56,3.75,5.29,
Honduras,5.10,92=,8.75,3.93,4.44,2.50,5.88,
Tanzania,5.10,92=,4.83,5.00,5.00,6.25,4.41,
Kenya,5.05,94,3.50,5.36,6.67,5.63,4.12,
Bosnia and Hercegovina,5.04,95=,7.00,3.29,5.56,3.75,5.59,
Morocco,5.04,95=,5.25,4.64,5.56,5.63,4.12,
Sierra Leone,4.97,97,6.58,2.86,3.89,6.25,5.29,
Bolivia,4.65,98,4.75,4.29,6.11,2.50,5.59,
