iso3c,n,missing,location,actual,actual_number
AFG,57,0,Afghanistan,1,57
AGO,57,0,Angola,1,57
ARG,57,0,Argentina,1,57
ARM,57,0,Armenia,1,57
BEN,57,0,Benin,1,57
BFA,57,0,Burkina Faso,1,57
BGR,57,0,Bulgaria,1,57
BLR,57,0,Belarus,1,57
BOL,57,0,Bolivia (Plurinational State of),1,57
CHL,57,0,Chile,1,57
CMR,57,0,Cameroon,1,57
COD,57,0,Congo (the Democratic Republic of the),1,57
CZE,57,0,Czechia,1,57
DEU,57,0,Germany,1,57
DOM,57,0,Dominican Republic (the),1,57
ECU,57,0,Ecuador,1,57
EGY,57,0,Egypt,1,57
EST,57,0,Estonia,1,57
ETH,57,0,Ethiopia,1,57
GEO,57,0,Georgia,1,57
GHA,57,0,Ghana,1,57
GRC,57,0,Greece,1,57
GTM,57,0,Guatemala,1,57
HND,57,0,Honduras,1,57
IDN,57,0,Indonesia,1,57
IND,57,0,India,1,57
JAM,57,0,Jamaica,1,57
JOR,57,0,Jordan,1,57
KAZ,57,0,Kazakhstan,1,57
KGZ,57,0,Kyrgyzstan,1,57
KHM,57,0,Cambodia,1,57
LBR,57,0,Liberia,1,57
LKA,57,0,Sri Lanka,1,57
LSO,57,0,Lesotho,1,57
MDA,57,0,Moldova (the Republic of),1,57
MEX,57,0,Mexico,1,57
MKD,57,0,North Macedonia,1,57
MMR,57,0,Myanmar,1,57
MNG,57,0,Mongolia,1,57
MWI,57,0,Malawi,1,57
NER,57,0,Niger (the),1,57
NPL,57,0,Nepal,1,57
PAK,57,0,Pakistan,1,57
PER,57,0,Peru,1,57
PHL,57,0,Philippines (the),1,57
POL,57,0,Poland,1,57
PRT,57,0,Portugal,1,57
PRY,57,0,Paraguay,1,57
ROM,57,0,Romania,1,57
RWA,57,0,Rwanda,1,57
SDN,57,0,Sudan (the),1,57
SEN,57,0,Senegal,1,57
SLE,57,0,Sierra Leone,1,57
SLV,57,0,El Salvador,1,57
SRB,57,0,Serbia,1,57
SWZ,57,0,Eswatini,1,57
TGO,57,0,Togo,1,57
THA,57,0,Thailand,1,57
TZA,57,0,"Tanzania, the United Republic of",1,57
UKR,57,0,Ukraine,1,57
URY,57,0,Uruguay,1,57
USA,57,0,United States of America (the),1,57
ZAF,57,0,South Africa,1,57
ALB,57,0.0175438596491228,Albania,0.982456140350877,56
AUS,57,0.0175438596491228,Australia,0.982456140350877,56
AUT,57,0.0175438596491228,Austria,0.982456140350877,56
AZE,57,0.0175438596491228,Azerbaijan,0.982456140350877,56
BEL,57,0.0175438596491228,Belgium,0.982456140350877,56
BGD,57,0.0175438596491228,Bangladesh,0.982456140350877,56
BIH,57,0.0175438596491228,Bosnia and Herzegovina,0.982456140350877,56
BRA,57,0.0175438596491228,Brazil,0.982456140350877,56
