iso3c,country,original_score,original_type,original_rank,new_score,new_type,new_rank,difference_rank,per_chg_score
SOM,Somalia,-4.73202090021482,Extremely fragile,1,-4.56076437980815,Extremely fragile,1,0,-3.61909898578207
YEM,Yemen,-4.53796579383608,Extremely fragile,2,-4.26937862339573,Extremely fragile,4,2,-5.91866890678577
AFG,Afghanistan,-4.43566444050322,Extremely fragile,3,-4.32417711067886,Extremely fragile,3,0,-2.51343020464623
CAF,Central African Republic (the),-4.36667857609381,Extremely fragile,4,-4.19549601259111,Extremely fragile,5,1,-3.92020068616616
SSD,South Sudan,-4.14376289822787,Extremely fragile,5,-4.45570925706518,Extremely fragile,2,-3,7.5280938243527
COD,Congo (the Democratic Republic of the),-3.85049357816275,Extremely fragile,6,-4.02228885871642,Extremely fragile,6,0,4.46164308721278
TCD,Chad,-3.70750885451914,Extremely fragile,7,-3.68802040894534,Extremely fragile,7,0,-0.525647984631116
SYR,Syrian Arab Republic (the),-3.68774526321485,Extremely fragile,8,-3.50742464246132,Extremely fragile,8,0,-4.88972550659133
ERI,Eritrea,-3.56190499240786,Extremely fragile,9,-3.05640991080628,Extremely fragile,13,4,-14.1917059180139
COG,Congo (the),-3.32906772431224,Extremely fragile,10,-3.44097986284828,Extremely fragile,9,-1,3.36166602195394
BDI,Burundi,-3.14413174641433,Extremely fragile,11,-3.21900047612243,Extremely fragile,11,0,2.3812211365978
HTI,Haiti,-3.03027255697023,Extremely fragile,12,-3.32189805836761,Extremely fragile,10,-2,9.62373832434918
SDN,Sudan (the),-3.0213436214345,Extremely fragile,13,-3.13458719327623,Extremely fragile,12,-1,3.74811957959164
IRQ,Iraq,-3.0186952262526,Extremely fragile,14,-2.98605367453363,Extremely fragile,14,0,-1.08131325862569
GNQ,Equatorial Guinea,-2.92358115988225,Other fragile,15,-2.93591309901925,Extremely fragile,15,0,0.421809365384489
NER,Niger (the),-2.87465918119727,Other fragile,16,-2.57779626505769,Other fragile,21,5,-10.3268908565341
MLI,Mali,-2.85149233484907,Other fragile,17,-2.60060435875877,Other fragile,19,2,-8.79847976528332
LBY,Libya,-2.79149528876445,Other fragile,18,-2.73348790916861,Other fragile,16,-2,-2.07800385081484
LBR,Liberia,-2.72148900736233,Other fragile,19,-2.59451384804983,Other fragile,20,1,-4.66565027339811
AGO,Angola,-2.58774695515832,Other fragile,20,-2.6476087077685,Other fragile,17,-3,2.31327690255239
CMR,Cameroon,-2.57133273704977,Other fragile,21,-2.6438094932675,Other fragile,18,-3,2.81864556746889
MDG,Madagascar,-2.41848669217716,Other fragile,22,-2.56589097354426,Other fragile,22,0,6.09489735229446
NGA,Nigeria,-2.38664096439238,Other fragile,23,-2.38408312558819,Other fragile,26,3,-0.107173171094934
UGA,Uganda,-2.3660068996753,Other fragile,24,-2.52511428704488,Other fragile,23,-1,6.72472203658473
GIN,Guinea,-2.33376413411775,Other fragile,25,-2.39472757323388,Other fragile,25,0,2.6122365248867
ZMB,Zambia,-2.26945113774348,Other fragile,26,-2.19440548167093,Other fragile,30,4,-3.30677558218627
MOZ,Mozambique,-2.23725326508086,Other fragile,27,-2.40610483226801,Other fragile,24,-3,7.54727101408644
PNG,Papua New Guinea,-2.22488991020713,Other fragile,28,-2.35835848776791,Other fragile,27,-1,5.99888457170246
GNB,Guinea-Bissau,-2.21787047136899,Other fragile,29,-2.26289689891384,Other fragile,28,-1,2.03016488681853
COM,Comoros (the),-2.19463445499555,Other fragile,30,-2.18466118767549,Other fragile,31,1,-0.454438655939178
ZWE,Zimbabwe,-2.17440668556076,Other fragile,31,-2.08938908854906,Other fragile,34,3,-3.90992161568777
MRT,Mauritania,-2.12228191792178,Other fragile,32,-2.11175244155942,Other fragile,32,0,-0.496139380609276
MMR,Myanmar,-2.12123692744116,Other fragile,33,-2.22889040015192,Other fragile,29,-4,5.07503293564769
BFA,Burkina Faso,-2.07260821618722,Other fragile,34,-2.00132375860276,Other fragile,38,4,-3.43935998264039
TJK,Tajikistan,-2.06366432035476,Other fragile,35,-2.0639486580837,Other fragile,35,0,0.013778293598194
BGD,Bangladesh,-2.008520608261,Other fragile,36,-2.01088007431517,Other fragile,36,0,0.117472832714052
PAK,Pakistan,-1.93176702104612,Other fragile,37,-2.00706564278215,Other fragile,37,0,3.89791423684484
GMB,Gambia (the),-1.91073430516233,Other fragile,38,-1.37325404882594,Other fragile,58,20,-28.1295130821827
PSE,"Palestine, State of",-1.89381955992411,Other fragile,39,-1.63689885542715,Other fragile,46,7,-13.5662715674589
TLS,Timor-Leste,-1.88426348555343,Other fragile,40,-2.09659229204794,Other fragile,33,-7,11.2685305490674
ETH,Ethiopia,-1.84050243887418,Other fragile,41,-1.98768111106254,Other fragile,39,-2,7.9966572757376
DJI,Djibouti,-1.78644880550153,Other fragile,42,-1.70001918977102,Other fragile,43,1,-4.83806843299076
SLE,Sierra Leone,-1.75826916766152,Other fragile,43,-1.8257959252735,Other fragile,40,-3,3.8405244688326
