"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Current account deficit (R)",0.589689574561164,"2","Risks",NA,"Aqua"
"A","Debt-to-GDP ratio (R)",0.261393755353111,"2","Risks",NA,"Aqua"
"A","Exchange rate volatility (R)",0.292333461075945,"3","Risks","*","Aqua"
"A","Financial inclusion (C)",0.898837910481331,"2","Coping Capacity",NA,"Aqua"
"A","GDP per capita growth (C)",0.756443521969582,"2","Coping Capacity",NA,"Aqua"
"A","Natural resource dependence (R)",0.419656861229514,"3","Risks","*","Aqua"
"A","Regulatory quality (C)",0.821333525126287,"3","Coping Capacity","*","Aqua"
"A","Tax revenue, excluding social contributions (C)",0.855725876237404,"3","Coping Capacity","*","Aqua"
"A","Unemployment rate (R)",0.418051663960195,"2","Risks",NA,"Aqua"
"A","Women's employment in non-agricultural sectors (C)",0.692897141173003,"3","Coping Capacity","*","Aqua"
"B","Current account deficit (R)",0.417108952683385,"2","Risks",NA,"Olive"
"B","Debt-to-GDP ratio (R)",0.184001688159658,"2","Risks",NA,"Olive"
"B","Exchange rate volatility (R)",0.0790545823978579,"2","Risks",NA,"Olive"
"B","Financial inclusion (C)",0.913560397761645,"3","Coping Capacity","*","Olive"
"B","GDP per capita growth (C)",0.593129889290353,"2","Coping Capacity",NA,"Olive"
"B","Natural resource dependence (R)",0.194890940568353,"3","Risks","*","Olive"
"B","Regulatory quality (C)",0.636971730282697,"2","Coping Capacity",NA,"Olive"
"B","Tax revenue, excluding social contributions (C)",0.753769550793251,"3","Coping Capacity","*","Olive"
"B","Unemployment rate (R)",0.170602726023553,"2","Risks",NA,"Olive"
"B","Women's employment in non-agricultural sectors (C)",0.308990619632712,"2","Coping Capacity",NA,"Olive"
"C","Current account deficit (R)",0.503562010361426,"2","Risks",NA,"Violet"
"C","Debt-to-GDP ratio (R)",0.372452804145166,"2","Risks",NA,"Violet"
"C","Exchange rate volatility (R)",0.218461565491715,"3","Risks","*","Violet"
"C","Financial inclusion (C)",0.805919989367358,"2","Coping Capacity",NA,"Violet"
"C","GDP per capita growth (C)",0.758979241825728,"2","Coping Capacity",NA,"Violet"
"C","Natural resource dependence (R)",0.0743144578041425,"2","Risks",NA,"Violet"
"C","Regulatory quality (C)",0.54190478095219,"2","Coping Capacity",NA,"Violet"
"C","Tax revenue, excluding social contributions (C)",0.581518631090374,"2","Coping Capacity",NA,"Violet"
"C","Unemployment rate (R)",0.388265708646478,"2","Risks",NA,"Violet"
"C","Women's employment in non-agricultural sectors (C)",0.450539881574364,"3","Coping Capacity","*","Violet"
"D","Current account deficit (R)",0.393699336924561,"2","Risks",NA,"Pink"
"D","Debt-to-GDP ratio (R)",0.215873364033771,"2","Risks",NA,"Pink"
"D","Exchange rate volatility (R)",0.0911042530738459,"2","Risks",NA,"Pink"
"D","Financial inclusion (C)",0.793518680033417,"2","Coping Capacity",NA,"Pink"
"D","GDP per capita growth (C)",0.649996391444035,"2","Coping Capacity",NA,"Pink"
"D","Natural resource dependence (R)",0.0450579913928809,"2","Risks",NA,"Pink"
"D","Regulatory quality (C)",0.497129594418341,"2","Coping Capacity",NA,"Pink"
"D","Tax revenue, excluding social contributions (C)",0.610565738043497,"2","Coping Capacity",NA,"Pink"
"D","Unemployment rate (R)",0.257420841072984,"2","Risks",NA,"Pink"
"D","Women's employment in non-agricultural sectors (C)",0.264915161466886,"2","Coping Capacity",NA,"Pink"
"E","Current account deficit (R)",0.489563189306917,"2","Risks",NA,"Brown"
"E","Debt-to-GDP ratio (R)",0.487986105703929,"3","Risks","*","Brown"
"E","Exchange rate volatility (R)",0.0655898661932849,"2","Risks",NA,"Brown"
"E","Financial inclusion (C)",0.496970435347628,"1","Coping Capacity","*","Brown"
"E","GDP per capita growth (C)",0.693754356711914,"2","Coping Capacity",NA,"Brown"
"E","Natural resource dependence (R)",0.0296377274010666,"2","Risks",NA,"Brown"
"E","Regulatory quality (C)",0.327683300944768,"1","Coping Capacity","*","Brown"
"E","Tax revenue, excluding social contributions (C)",0.460303066891125,"1","Coping Capacity","*","Brown"
"E","Unemployment rate (R)",0.260657170788999,"2","Risks",NA,"Brown"
"E","Women's employment in non-agricultural sectors (C)",0.209628214133674,"2","Coping Capacity",NA,"Brown"
"F","Current account deficit (R)",0.350631047799701,"2","Risks",NA,"Grey"
"F","Debt-to-GDP ratio (R)",0.199321030911781,"2","Risks",NA,"Grey"
"F","Exchange rate volatility (R)",0.0656760006871672,"2","Risks",NA,"Grey"
"F","Financial inclusion (C)",0.700648148148148,"2","Coping Capacity",NA,"Grey"
"F","GDP per capita growth (C)",0.607110543768825,"2","Coping Capacity",NA,"Grey"
"F","Natural resource dependence (R)",0.015968590179076,"2","Risks",NA,"Grey"
"F","Regulatory quality (C)",0.205077695889708,"1","Coping Capacity","*","Grey"
"F","Tax revenue, excluding social contributions (C)",0.484371684804248,"1","Coping Capacity","*","Grey"
"F","Unemployment rate (R)",0.163568661601754,"2","Risks",NA,"Grey"
"F","Women's employment in non-agricultural sectors (C)",0.197126436781609,"2","Coping Capacity",NA,"Grey"
