"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Air quality (C)",0.818585599971421,"3","Coping Capacity","*","Aqua"
"A","Biodiversity and habitat (C)",0.637800505788468,"3","Coping Capacity","*","Aqua"
"A","Environment-related displacement (R)",0.104617931517049,"3","Risks","*","Aqua"
"A","Exposure to hazards (R)",0.661902817476521,"3","Risks","*","Aqua"
"A","Food supply adequacy (C)",0.576888525928951,"2","Coping Capacity",NA,"Aqua"
"A","Lack of adaptive capacity (R)",0.730631949887414,"3","Risks","*","Aqua"
"A","Non-renewable resource crimes (R)",0.631878557874763,"2","Risks",NA,"Aqua"
"A","Share of electricity production from renewables (C)",0.753767096774194,"2","Coping Capacity",NA,"Aqua"
"A","Water stress (R)",0.497441544078446,"2","Risks",NA,"Aqua"
"A","Women's participation in UNFCCC delegations (C)",0.772374193548387,"3","Coping Capacity","*","Aqua"
"B","Air quality (C)",0.729604373336442,"2","Coping Capacity",NA,"Olive"
"B","Biodiversity and habitat (C)",0.353467679361004,"2","Coping Capacity",NA,"Olive"
"B","Environment-related displacement (R)",0.0290847943314068,"2","Risks",NA,"Olive"
"B","Exposure to hazards (R)",0.502775927159671,"2","Risks",NA,"Olive"
"B","Food supply adequacy (C)",0.584573246724406,"3","Coping Capacity","*","Olive"
"B","Lack of adaptive capacity (R)",0.668239174012695,"3","Risks","*","Olive"
"B","Non-renewable resource crimes (R)",0.531475748194014,"2","Risks",NA,"Olive"
"B","Share of electricity production from renewables (C)",0.407706771929825,"1","Coping Capacity","*","Olive"
"B","Water stress (R)",0.150064155773095,"1","Risks","*","Olive"
"B","Women's participation in UNFCCC delegations (C)",0.646747368421053,"2","Coping Capacity",NA,"Olive"
"C","Air quality (C)",0.630252100840336,"2","Coping Capacity",NA,"Violet"
"C","Biodiversity and habitat (C)",0.744278199084512,"3","Coping Capacity","*","Violet"
"C","Environment-related displacement (R)",0.00860618301751228,"2","Risks",NA,"Violet"
"C","Exposure to hazards (R)",0.4668652271035,"2","Risks",NA,"Violet"
"C","Food supply adequacy (C)",0.29198312732688,"2","Coping Capacity",NA,"Violet"
"C","Lack of adaptive capacity (R)",0.371919020510932,"2","Risks",NA,"Violet"
"C","Non-renewable resource crimes (R)",0.508650519031142,"2","Risks",NA,"Violet"
"C","Share of electricity production from renewables (C)",0.914463529411765,"2","Coping Capacity",NA,"Violet"
"C","Water stress (R)",0.76938301076215,"3","Risks","*","Violet"
"C","Women's participation in UNFCCC delegations (C)",0.742894705882353,"2","Coping Capacity",NA,"Violet"
"D","Air quality (C)",0.679123229083133,"2","Coping Capacity",NA,"Pink"
"D","Biodiversity and habitat (C)",0.481271444591293,"2","Coping Capacity",NA,"Pink"
"D","Environment-related displacement (R)",0.0210892589500233,"2","Risks",NA,"Pink"
"D","Exposure to hazards (R)",0.494340157136622,"2","Risks",NA,"Pink"
"D","Food supply adequacy (C)",0.464135019642078,"2","Coping Capacity",NA,"Pink"
"D","Lack of adaptive capacity (R)",0.456240590921065,"2","Risks",NA,"Pink"
"D","Non-renewable resource crimes (R)",0.359702515212982,"2","Risks",NA,"Pink"
"D","Share of electricity production from renewables (C)",0.756085862068966,"2","Coping Capacity",NA,"Pink"
"D","Water stress (R)",0.461262049386434,"2","Risks",NA,"Pink"
"D","Women's participation in UNFCCC delegations (C)",0.545597586206897,"2","Coping Capacity",NA,"Pink"
"E","Air quality (C)",0.36609449981543,"1","Coping Capacity","*","Brown"
"E","Biodiversity and habitat (C)",0.222609368950832,"2","Coping Capacity",NA,"Brown"
"E","Environment-related displacement (R)",0.0103061213222306,"2","Risks",NA,"Brown"
"E","Exposure to hazards (R)",0.404008438818565,"2","Risks",NA,"Brown"
"E","Food supply adequacy (C)",0.282419129746835,"2","Coping Capacity",NA,"Brown"
"E","Lack of adaptive capacity (R)",0.209610602425145,"1","Risks","*","Brown"
"E","Non-renewable resource crimes (R)",0.279411764705882,"2","Risks",NA,"Brown"
"E","Share of electricity production from renewables (C)",0.747934166666667,"2","Coping Capacity",NA,"Brown"
"E","Water stress (R)",0.433436661412299,"2","Risks",NA,"Brown"
"E","Women's participation in UNFCCC delegations (C)",0.541972083333333,"2","Coping Capacity",NA,"Brown"
"F","Air quality (C)",0.203149993847668,"1","Coping Capacity","*","Grey"
"F","Biodiversity and habitat (C)",0.231836365982707,"2","Coping Capacity",NA,"Grey"
"F","Environment-related displacement (R)",0.00781052065714791,"2","Risks",NA,"Grey"
"F","Exposure to hazards (R)",0.19549929676512,"1","Risks","*","Grey"
"F","Food supply adequacy (C)",0.30379746835443,"2","Coping Capacity",NA,"Grey"
"F","Lack of adaptive capacity (R)",0.174303084904591,"1","Risks","*","Grey"
"F","Non-renewable resource crimes (R)",0.169934640522876,"2","Risks",NA,"Grey"
"F","Share of electricity production from renewables (C)",0.376692222222222,"1","Coping Capacity","*","Grey"
"F","Water stress (R)",0.176719107579604,"1","Risks","*","Grey"
"F","Women's participation in UNFCCC delegations (C)",0.427014444444444,"2","Coping Capacity",NA,"Grey"
