"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Access to basic water (C)",0.822746820169652,"3","Coping Capacity","*","Aqua"
"A","Access to immunisation services (C)",0.747619047619048,"3","Coping Capacity","*","Aqua"
"A","Adolescent birth rate (R)",0.722180051788196,"3","Risks","*","Aqua"
"A","Age dependency ratio (R)",0.814316755236011,"3","Risks","*","Aqua"
"A","Gender gap in secondary school enrollment (C)",0.877882947774763,"3","Coping Capacity","*","Aqua"
"A","Human inequality (R)",0.74114805789934,"2","Risks",NA,"Aqua"
"A","Prevalence of stunting (R)",0.638044579533941,"3","Risks","*","Aqua"
"A","Primary completion rate (C)",0.758417301933312,"3","Coping Capacity","*","Aqua"
"A","Social protection coverage (C)",0.88335015136226,"2","Coping Capacity",NA,"Aqua"
"A","Youth not in education, employment, or training (R)",0.445276285059478,"2","Risks",NA,"Aqua"
"B","Access to basic water (C)",0.578812668455027,"3","Coping Capacity","*","Olive"
"B","Access to immunisation services (C)",0.420238095238095,"2","Coping Capacity",NA,"Olive"
"B","Adolescent birth rate (R)",0.525918488985776,"3","Risks","*","Olive"
"B","Age dependency ratio (R)",0.684550836198812,"3","Risks","*","Olive"
"B","Gender gap in secondary school enrollment (C)",0.541123090855688,"3","Coping Capacity","*","Olive"
"B","Human inequality (R)",0.656516820987815,"2","Risks",NA,"Olive"
"B","Prevalence of stunting (R)",0.535271023302938,"2","Risks",NA,"Olive"
"B","Primary completion rate (C)",0.548611416483667,"3","Coping Capacity","*","Olive"
"B","Social protection coverage (C)",0.871094615828168,"2","Coping Capacity",NA,"Olive"
"B","Youth not in education, employment, or training (R)",0.397685621521336,"2","Risks",NA,"Olive"
"C","Access to basic water (C)",0.347355426686006,"2","Coping Capacity",NA,"Violet"
"C","Access to immunisation services (C)",0.298809523809524,"2","Coping Capacity",NA,"Violet"
"C","Adolescent birth rate (R)",0.351983872993941,"2","Risks",NA,"Violet"
"C","Age dependency ratio (R)",0.560656963113473,"2","Risks",NA,"Violet"
"C","Gender gap in secondary school enrollment (C)",0.416902395871213,"2","Coping Capacity",NA,"Violet"
"C","Human inequality (R)",0.623683783624749,"2","Risks",NA,"Violet"
"C","Prevalence of stunting (R)",0.452760891590679,"2","Risks",NA,"Violet"
"C","Primary completion rate (C)",0.420114941248795,"2","Coping Capacity",NA,"Violet"
"C","Social protection coverage (C)",0.866239008216808,"2","Coping Capacity",NA,"Violet"
"C","Youth not in education, employment, or training (R)",0.369965437083924,"2","Risks",NA,"Violet"
"D","Access to basic water (C)",0.125717392065939,"2","Coping Capacity",NA,"Pink"
"D","Access to immunisation services (C)",0.25625,"2","Coping Capacity",NA,"Pink"
"D","Adolescent birth rate (R)",0.306721455171861,"2","Risks",NA,"Pink"
"D","Age dependency ratio (R)",0.408724414660831,"2","Risks",NA,"Pink"
"D","Gender gap in secondary school enrollment (C)",0.35657033238692,"2","Coping Capacity",NA,"Pink"
"D","Human inequality (R)",0.444347427707871,"2","Risks",NA,"Pink"
"D","Prevalence of stunting (R)",0.31427304964539,"2","Risks",NA,"Pink"
"D","Primary completion rate (C)",0.289854298316583,"2","Coping Capacity",NA,"Pink"
"D","Social protection coverage (C)",0.701570804742684,"2","Coping Capacity",NA,"Pink"
"D","Youth not in education, employment, or training (R)",0.370891516424752,"2","Risks",NA,"Pink"
"E","Access to basic water (C)",0.0517538438969005,"1","Coping Capacity","*","Brown"
"E","Access to immunisation services (C)",0.133854166666667,"1","Coping Capacity","*","Brown"
"E","Adolescent birth rate (R)",0.161705815020641,"1","Risks","*","Brown"
"E","Age dependency ratio (R)",0.295683301422319,"1","Risks","*","Brown"
"E","Gender gap in secondary school enrollment (C)",0.393570941232622,"2","Coping Capacity",NA,"Brown"
"E","Human inequality (R)",0.280314353412474,"1","Risks","*","Brown"
"E","Prevalence of stunting (R)",0.163253546099291,"1","Risks","*","Brown"
"E","Primary completion rate (C)",0.226549523439621,"2","Coping Capacity",NA,"Brown"
"E","Social protection coverage (C)",0.545740829969728,"1","Coping Capacity","*","Brown"
"E","Youth not in education, employment, or training (R)",0.298333971543163,"2","Risks",NA,"Brown"
"F","Access to basic water (C)",0.0181313414409584,"1","Coping Capacity","*","Grey"
"F","Access to immunisation services (C)",0.087979796969697,"1","Coping Capacity","*","Grey"
"F","Adolescent birth rate (R)",0.0746066359066593,"1","Risks","*","Grey"
"F","Age dependency ratio (R)",0.381161631191565,"2","Risks",NA,"Grey"
"F","Gender gap in secondary school enrollment (C)",0.419993947701016,"2","Coping Capacity",NA,"Grey"
"F","Human inequality (R)",0.128475943599475,"1","Risks","*","Grey"
"F","Prevalence of stunting (R)",0.068837304964539,"1","Risks","*","Grey"
"F","Primary completion rate (C)",0.235895527643459,"2","Coping Capacity",NA,"Grey"
"F","Social protection coverage (C)",0.162315383909733,"1","Coping Capacity","*","Grey"
"F","Youth not in education, employment, or training (R)",0.137715119105493,"1","Risks","*","Grey"
