"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Attitudes on violence against women (C)",0.335142942453855,"2","Coping Capacity",NA,"Aqua"
"A","Government cybersecurity capacity (C)",0.657591384802063,"2","Coping Capacity",NA,"Aqua"
"A","Historical deaths from non-state conflict (R)",0.486859255523552,"2","Risks",NA,"Aqua"
"A","Historical deaths from war (R)",0.588385211626563,"3","Risks","*","Aqua"
"A","Military spending (as % of GNI) (R)",0.549818957713694,"3","Risks","*","Aqua"
"A","Presence of criminal networks (R)",0.90625,"2","Risks",NA,"Aqua"
"A","Refugees and IDPs from country of origin (R)",0.519322687855528,"3","Risks","*","Aqua"
"A","Rule of law (C)",0.926502492666634,"2","Coping Capacity",NA,"Aqua"
"A","State control over territory (C)",0.782446280435478,"3","Coping Capacity","*","Aqua"
"B","Attitudes on violence against women (C)",0.787622149837134,"3","Coping Capacity","*","Olive"
"B","Government cybersecurity capacity (C)",0.78971636584256,"2","Coping Capacity",NA,"Olive"
"B","Historical deaths from non-state conflict (R)",0.452627616162405,"2","Risks",NA,"Olive"
"B","Historical deaths from war (R)",0.561223822648589,"3","Risks","*","Olive"
"B","Military spending (as % of GNI) (R)",0.143476011897065,"2","Risks",NA,"Olive"
"B","Presence of criminal networks (R)",0.85,"2","Risks",NA,"Olive"
"B","Refugees and IDPs from country of origin (R)",0.320763924998167,"3","Risks","*","Olive"
"B","Rule of law (C)",0.900128362162089,"3","Coping Capacity","*","Olive"
"B","State control over territory (C)",0.498531457705834,"2","Coping Capacity",NA,"Olive"
"C","Attitudes on violence against women (C)",0.522592499791197,"2","Coping Capacity",NA,"Violet"
"C","Government cybersecurity capacity (C)",0.636082558424436,"2","Coping Capacity",NA,"Violet"
"C","Historical deaths from non-state conflict (R)",0.371135330271167,"2","Risks",NA,"Violet"
"C","Historical deaths from war (R)",0.200412733382601,"2","Risks",NA,"Violet"
"C","Military spending (as % of GNI) (R)",0.109799162430741,"2","Risks",NA,"Violet"
"C","Presence of criminal networks (R)",0.822115384615385,"2","Risks",NA,"Violet"
"C","Refugees and IDPs from country of origin (R)",0.049353039886767,"2","Risks",NA,"Violet"
"C","Rule of law (C)",0.696380027097906,"2","Coping Capacity",NA,"Violet"
"C","State control over territory (C)",0.384641272002661,"2","Coping Capacity",NA,"Violet"
"D","Attitudes on violence against women (C)",0.454261178560853,"2","Coping Capacity",NA,"Pink"
"D","Government cybersecurity capacity (C)",0.654992209368063,"2","Coping Capacity",NA,"Pink"
"D","Historical deaths from non-state conflict (R)",0.0193002343701822,"2","Risks",NA,"Pink"
"D","Historical deaths from war (R)",0.00335927564896986,"2","Risks",NA,"Pink"
"D","Military spending (as % of GNI) (R)",0.0847865699540341,"2","Risks",NA,"Pink"
"D","Presence of criminal networks (R)",0.580757568181818,"2","Risks",NA,"Pink"
"D","Refugees and IDPs from country of origin (R)",0.0154364861117467,"2","Risks",NA,"Pink"
"D","Rule of law (C)",0.64180041491713,"2","Coping Capacity",NA,"Pink"
"D","State control over territory (C)",0.140040864652855,"2","Coping Capacity",NA,"Pink"
"E","Attitudes on violence against women (C)",0.174091046946024,"2","Coping Capacity",NA,"Brown"
"E","Government cybersecurity capacity (C)",0.482958042299614,"2","Coping Capacity",NA,"Brown"
"E","Historical deaths from non-state conflict (R)",0.00862774449986404,"2","Risks",NA,"Brown"
"E","Historical deaths from war (R)",0.0136738546547534,"2","Risks",NA,"Brown"
"E","Military spending (as % of GNI) (R)",0.118226530804586,"2","Risks",NA,"Brown"
"E","Presence of criminal networks (R)",0.558545190677966,"2","Risks",NA,"Brown"
"E","Refugees and IDPs from country of origin (R)",0.0100084118807537,"2","Risks",NA,"Brown"
"E","Rule of law (C)",0.475847980467747,"1","Coping Capacity","*","Brown"
"E","State control over territory (C)",0.100498578135254,"2","Coping Capacity",NA,"Brown"
"F","Attitudes on violence against women (C)",0.12603622873688,"2","Coping Capacity",NA,"Grey"
"F","Government cybersecurity capacity (C)",0.303670559684514,"1","Coping Capacity","*","Grey"
"F","Historical deaths from non-state conflict (R)",0.000573829420959944,"2","Risks",NA,"Grey"
"F","Historical deaths from war (R)",0.00601198287242042,"2","Risks",NA,"Grey"
"F","Military spending (as % of GNI) (R)",0.173050870419291,"2","Risks",NA,"Grey"
"F","Presence of criminal networks (R)",0.505952380952381,"2","Risks",NA,"Grey"
"F","Refugees and IDPs from country of origin (R)",0.000409085384744455,"2","Risks",NA,"Grey"
"F","Rule of law (C)",0.219761821899007,"1","Coping Capacity","*","Grey"
"F","State control over territory (C)",0.0501155841023582,"1","Coping Capacity","*","Grey"
