package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
abind,1.4.5,1.4-5,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/abind,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/abind,FALSE,FALSE,2016-07-21,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ape,5.6.1,5.6-1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ape,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ape,TRUE,FALSE,2022-01-07,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
arrow,7.0.0,7.0.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/arrow,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/arrow,TRUE,FALSE,2022-02-10,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
assertthat,0.2.1,0.2.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/assertthat,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/assertthat,FALSE,FALSE,2019-03-21,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
backports,1.4.1,1.4.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/backports,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/backports,FALSE,FALSE,2021-12-13,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
BAMMtools,2.1.8,2.1.8,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/BAMMtools,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/BAMMtools,TRUE,FALSE,2021-10-18,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bit,4.0.4,4.0.4,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bit,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bit,FALSE,FALSE,2020-08-04,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bit64,4.0.5,4.0.5,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bit64,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bit64,FALSE,FALSE,2020-08-30,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bitops,1.0.7,1.0-7,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bitops,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bitops,FALSE,FALSE,2021-04-24,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
boot,1.3.28,1.3-28,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/boot,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/boot,FALSE,FALSE,2021-05-03,CRAN (R 4.1.2),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
brio,1.1.3,1.1.3,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/brio,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/brio,FALSE,FALSE,2021-11-30,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
broom,0.7.12,0.7.12,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/broom,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/broom,FALSE,FALSE,2022-01-28,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
broom.helpers,1.6.0,1.6.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/broom.helpers,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/broom.helpers,FALSE,FALSE,2022-01-12,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cachem,1.0.6,1.0.6,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cachem,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cachem,FALSE,FALSE,2021-08-19,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
callr,3.7.0,3.7.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/callr,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/callr,FALSE,FALSE,2021-04-20,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
car,3.0.12,3.0-12,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/car,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/car,FALSE,FALSE,2021-11-06,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
carData,3.0.5,3.0-5,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/carData,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/carData,FALSE,FALSE,2022-01-06,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
caret,6.0.90,6.0-90,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/caret,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/caret,TRUE,FALSE,2021-10-09,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
caTools,1.18.2,1.18.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/caTools,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/caTools,FALSE,FALSE,2021-03-28,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cellranger,1.1.0,1.1.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cellranger,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cellranger,FALSE,FALSE,2016-07-27,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
class,7.3.19,7.3-19,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/class,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/class,FALSE,FALSE,2021-05-03,CRAN (R 4.1.2),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cli,3.2.0,3.2.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cli,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cli,FALSE,FALSE,2022-02-14,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cluster,2.1.2,2.1.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cluster,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cluster,FALSE,FALSE,2021-04-17,CRAN (R 4.1.2),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
codetools,0.2.18,0.2-18,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/codetools,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/codetools,FALSE,FALSE,2020-11-04,CRAN (R 4.1.2),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
colorspace,2.0.2,2.0-2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/colorspace,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/colorspace,TRUE,FALSE,2021-06-24,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
countrycode,1.3.1,1.3.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/countrycode,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/countrycode,TRUE,FALSE,2022-02-02,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
crayon,1.5.0,1.5.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/crayon,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/crayon,FALSE,FALSE,2022-02-14,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
curl,4.3.2,4.3.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/curl,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/curl,FALSE,FALSE,2021-06-23,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
daiR,0.9.0,0.9.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/daiR,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/daiR,TRUE,FALSE,2021-06-11,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
data.table,1.14.2,1.14.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/data.table,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/data.table,TRUE,FALSE,2021-09-27,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DataCombine,0.2.21,0.2.21,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DataCombine,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DataCombine,TRUE,FALSE,2016-04-13,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DBI,1.1.2,1.1.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DBI,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DBI,FALSE,FALSE,2021-12-20,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
